after_onset,analysis,before_exposure,coverage,during_incubation,enhanced,max_vaccines,n_vaccinated_cases,radius,replicate,seed,strategy
16,supp_s3_delivery,79,0.4,16,,0,111,2,3,2026131003,community40_base
48,supp_s3_delivery,11,,8,1,,67,2,3,2026131003,ring2_enhanced
20,supp_s3_delivery,92,0.4,29,,0,141,2,2,2026131002,community40_base
67,supp_s3_delivery,5,,12,1,,84,2,2,2026131002,ring2_enhanced
19,supp_s3_delivery,133,0.4,32,,0,184,2,7,2026131007,community40_base
59,supp_s3_delivery,17,,11,1,,87,2,7,2026131007,ring2_enhanced
18,supp_s3_delivery,134,0.4,15,,0,167,2,0,2026131000,community40_base
66,supp_s3_delivery,21,,26,1,,113,2,0,2026131000,ring2_enhanced
26,supp_s3_delivery,139,0.4,20,,0,185,2,6,2026131006,community40_base
45,supp_s3_delivery,13,,11,1,,69,2,6,2026131006,ring2_enhanced
22,supp_s3_delivery,133,0.4,30,,0,185,2,4,2026131004,community40_base
88,supp_s3_delivery,6,,22,1,,116,2,4,2026131004,ring2_enhanced
19,supp_s3_delivery,56,0.4,14,,0,89,2,1,2026131001,community40_base
37,supp_s3_delivery,6,,14,1,,57,2,1,2026131001,ring2_enhanced
18,supp_s3_delivery,116,0.4,18,,0,152,2,5,2026131005,community40_base
62,supp_s3_delivery,12,,13,1,,87,2,5,2026131005,ring2_enhanced
24,supp_s3_delivery,113,0.4,18,,0,155,2,8,2026131008,community40_base
76,supp_s3_delivery,13,,25,1,,114,2,8,2026131008,ring2_enhanced
12,supp_s3_delivery,78,0.4,21,,0,111,2,10,2026131010,community40_base
69,supp_s3_delivery,10,,6,1,,85,2,10,2026131010,ring2_enhanced
12,supp_s3_delivery,100,0.4,20,,0,132,2,9,2026131009,community40_base
48,supp_s3_delivery,7,,23,1,,78,2,9,2026131009,ring2_enhanced
25,supp_s3_delivery,124,0.4,20,,0,169,2,13,2026131013,community40_base
104,supp_s3_delivery,11,,16,1,,131,2,13,2026131013,ring2_enhanced
20,supp_s3_delivery,106,0.4,13,,0,139,2,12,2026131012,community40_base
40,supp_s3_delivery,10,,19,1,,69,2,12,2026131012,ring2_enhanced
22,supp_s3_delivery,105,0.4,21,,0,148,2,14,2026131014,community40_base
71,supp_s3_delivery,8,,12,1,,91,2,14,2026131014,ring2_enhanced
21,supp_s3_delivery,153,0.4,28,,0,202,2,15,2026131015,community40_base
55,supp_s3_delivery,6,,12,1,,73,2,15,2026131015,ring2_enhanced
17,supp_s3_delivery,93,0.4,22,,0,132,2,11,2026131011,community40_base
80,supp_s3_delivery,5,,9,1,,94,2,11,2026131011,ring2_enhanced
16,supp_s3_delivery,77,0.4,15,,0,108,2,17,2026131017,community40_base
39,supp_s3_delivery,11,,17,1,,67,2,17,2026131017,ring2_enhanced
