strategy,replicate_id,simulation_seed,extinct_before_day90,extinction_time,total_deaths,total_infected,total_vaccines
no_vax_base_ops,2,2026073002,0,nan,683,1495,0
no_vax_enh_ops,2,2026073002,0,nan,92,225,0
comm_base_40,2,2026073002,0,nan,211,501,40000
comm_base_60,2,2026073002,0,nan,105,284,60000
no_vax_base_ops,1,2026073001,0,nan,838,1896,0
no_vax_enh_ops,1,2026073001,0,nan,132,305,0
comm_base_40,1,2026073001,0,nan,262,638,40000
comm_base_60,1,2026073001,0,nan,130,359,60000
no_vax_base_ops,7,2026073007,0,nan,688,1511,0
no_vax_enh_ops,7,2026073007,1,83.62386345911217,94,205,0
comm_base_40,7,2026073007,0,nan,215,512,40000
comm_base_60,7,2026073007,0,nan,153,392,60000
no_vax_base_ops,4,2026073004,0,nan,689,1529,0
no_vax_enh_ops,4,2026073004,0,nan,109,264,0
comm_base_40,4,2026073004,0,nan,177,442,40000
comm_base_60,4,2026073004,0,nan,129,336,60000
no_vax_base_ops,0,2026073000,0,nan,798,1729,0
no_vax_enh_ops,0,2026073000,0,nan,159,335,0
comm_base_40,0,2026073000,0,nan,226,537,40000
comm_base_60,0,2026073000,0,nan,157,390,60000
no_vax_base_ops,5,2026073005,0,nan,735,1541,0
no_vax_enh_ops,5,2026073005,0,nan,121,256,0
comm_base_40,5,2026073005,0,nan,238,522,40000
comm_base_60,5,2026073005,0,nan,199,435,60000
no_vax_base_ops,3,2026073003,0,nan,828,1811,0
no_vax_enh_ops,3,2026073003,0,nan,159,361,0
comm_base_40,3,2026073003,0,nan,329,757,40000
comm_base_60,3,2026073003,0,nan,156,413,60000
no_vax_base_ops,6,2026073006,0,nan,686,1669,0
no_vax_enh_ops,6,2026073006,0,nan,140,335,0
comm_base_40,6,2026073006,0,nan,195,530,40000
comm_base_60,6,2026073006,0,nan,132,346,60000
no_vax_base_ops,10,2026073010,0,nan,785,1696,0
no_vax_enh_ops,10,2026073010,0,nan,174,371,0
comm_base_40,10,2026073010,0,nan,278,677,40000
comm_base_60,10,2026073010,0,nan,130,300,60000
no_vax_base_ops,11,2026073011,0,nan,1003,2249,0
no_vax_enh_ops,11,2026073011,0,nan,103,235,0
comm_base_40,11,2026073011,0,nan,276,638,40000
comm_base_60,11,2026073011,0,nan,137,352,60000
no_vax_base_ops,12,2026073012,0,nan,1075,2382,0
no_vax_enh_ops,12,2026073012,0,nan,141,341,0
comm_base_40,12,2026073012,0,nan,340,841,40000
comm_base_60,12,2026073012,0,nan,177,518,60000
no_vax_base_ops,8,2026073008,0,nan,959,2071,0
no_vax_enh_ops,8,2026073008,0,nan,206,417,0
comm_base_40,8,2026073008,0,nan,322,693,40000
comm_base_60,8,2026073008,0,nan,217,515,60000
no_vax_base_ops,15,2026073015,0,nan,827,1771,0
no_vax_enh_ops,15,2026073015,0,nan,176,364,0
comm_base_40,15,2026073015,0,nan,329,728,40000
comm_base_60,15,2026073015,0,nan,192,426,60000
no_vax_base_ops,9,2026073009,0,nan,822,1829,0
no_vax_enh_ops,9,2026073009,0,nan,136,312,0
comm_base_40,9,2026073009,0,nan,232,559,40000
comm_base_60,9,2026073009,0,nan,131,350,60000
no_vax_base_ops,13,2026073013,0,nan,700,1539,0
no_vax_enh_ops,13,2026073013,0,nan,134,298,0
comm_base_40,13,2026073013,0,nan,288,681,40000
comm_base_60,13,2026073013,0,nan,211,519,60000
no_vax_base_ops,14,2026073014,0,nan,1057,2275,0
no_vax_enh_ops,14,2026073014,0,nan,163,349,0
comm_base_40,14,2026073014,0,nan,311,735,40000
comm_base_60,14,2026073014,0,nan,178,439,60000
no_vax_base_ops,16,2026073016,0,nan,757,1663,0
no_vax_enh_ops,16,2026073016,0,nan,141,322,0
