draw_id,scenario,mean_cases,mean_deaths,mean_doses,comparator_mean_deaths,deaths_averted_pct
3,no_vax_base_ops,1647.22,746.1,0.0,746.1,0.0
3,vax_base_ops,1385.42,617.22,7331.24,746.1,17.273823884197828
3,no_vax_enh_ops,282.08,127.4,0.0,746.1,82.92454094625386
3,vax_enh_ops,261.94,117.14,8133.1,746.1,84.29969173033105
3,incremental_ring_vax,261.94,117.14,8133.1,127.4,8.053375196232341
3,no_vax_ring1_base_ops,2052.8,929.56,0.0,746.1,-24.589197158557823
3,no_vax_ring1_enh_ops,341.26,154.68,0.0,929.56,83.35986918542105
3,ring1_vax_base_ops,1830.34,821.14,2346.88,929.56,11.663582770342956
3,ring1_vax_enh_ops,288.04,126.1,2783.7,929.56,86.43444210163948
3,comm_base_20,892.96,392.44,20000.0,746.1,47.401152660501275
3,comm_base_40,506.1,214.66,40000.0,746.1,71.22905776705537
3,comm_base_60,311.8,125.7,60000.0,746.1,83.1523924406916
3,comm_base_80,217.62,82.72,80000.0,746.1,88.91301434124112
1,no_vax_base_ops,1938.94,876.3,0.0,876.3,0.0
1,vax_base_ops,1669.32,740.2,7345.14,876.3,15.531210772566464
1,no_vax_enh_ops,321.32,143.46,0.0,876.3,83.62889421431015
1,vax_enh_ops,307.12,135.16,8183.32,876.3,84.57605842747918
1,incremental_ring_vax,307.12,135.16,8183.32,143.46,5.78558483200893
1,no_vax_ring1_base_ops,2341.3,1059.14,0.0,876.3,-20.865000570580868
1,no_vax_ring1_enh_ops,397.6,177.04,0.0,1059.14,83.28455161734993
1,ring1_vax_base_ops,2125.4,951.68,2606.4,1059.14,10.145967483052301
1,ring1_vax_enh_ops,347.04,150.72,2879.46,1059.14,85.7695866457692
1,comm_base_20,1159.38,504.1,20000.0,876.3,42.474038571265545
1,comm_base_40,707.96,294.14,40000.0,876.3,66.43386967933357
1,comm_base_60,462.32,182.72,60000.0,876.3,79.1486933698505
1,comm_base_80,321.78,121.14,80000.0,876.3,86.17596713454297
4,no_vax_base_ops,1695.9,768.0,0.0,768.0,0.0
4,vax_base_ops,1366.28,607.8,7369.4,768.0,20.859375000000004
4,no_vax_enh_ops,331.88,151.36,0.0,768.0,80.29166666666667
4,vax_enh_ops,316.06,141.88,8115.14,768.0,81.52604166666667
4,incremental_ring_vax,316.06,141.88,8115.14,151.36,6.263213530655403
4,no_vax_ring1_base_ops,1950.38,882.82,0.0,768.0,-14.950520833333341
4,no_vax_ring1_enh_ops,487.54,222.02,0.0,882.82,74.85104551324166
4,ring1_vax_base_ops,1793.48,804.04,2252.1,882.82,8.92367640062528
4,ring1_vax_enh_ops,394.3,173.52,3229.58,882.82,80.34480415033642
4,comm_base_20,871.62,384.38,20000.0,768.0,49.950520833333336
4,comm_base_40,513.12,217.88,40000.0,768.0,71.63020833333333
4,comm_base_60,308.04,125.3,60000.0,768.0,83.68489583333334
4,comm_base_80,216.08,83.3,80000.0,768.0,89.15364583333333
5,no_vax_base_ops,1747.96,793.48,0.0,793.48,0.0
5,vax_base_ops,1471.42,655.72,7376.28,793.48,17.361496193980944
5,no_vax_enh_ops,305.62,139.46,0.0,793.48,82.42425770025709
5,vax_enh_ops,296.82,134.54,8061.74,793.48,83.04431113575642
5,incremental_ring_vax,296.82,134.54,8061.74,139.46,3.5278933027391477
5,no_vax_ring1_base_ops,2042.48,928.92,0.0,793.48,-17.06911327317638
5,no_vax_ring1_enh_ops,412.18,188.14,0.0,928.92,79.74637213107695
5,ring1_vax_base_ops,1882.48,848.62,2542.62,928.92,8.644447315161688
5,ring1_vax_enh_ops,357.0,157.08,3694.08,928.92,83.0900400465056
5,comm_base_20,1076.0,472.96,20000.0,793.48,40.39421283460201
5,comm_base_40,646.7,272.42,40000.0,793.48,65.66769168725108
5,comm_base_60,445.72,179.0,60000.0,793.48,77.44114533447598
5,comm_base_80,321.12,123.02,80000.0,793.48,84.49614357009628
2,no_vax_base_ops,2131.12,969.44,0.0,969.44,0.0
2,vax_base_ops,1917.08,858.46,6967.46,969.44,11.4478461792375
2,no_vax_enh_ops,369.84,167.94,0.0,969.44,82.67659679815151
2,vax_enh_ops,336.5,151.2,8073.92,969.44,84.40336689222643
2,incremental_ring_vax,336.5,151.2,8073.92,167.94,9.967845659163993
2,no_vax_ring1_base_ops,2564.32,1165.1,0.0,969.44,-20.182785938273625
2,no_vax_ring1_enh_ops,486.8,221.58,0.0,1165.1,80.98188996652647
2,ring1_vax_base_ops,2438.18,1102.4,1950.7,1165.1,5.381512316539338
2,ring1_vax_enh_ops,423.8,187.38,3395.96,1165.1,83.91726032100249
2,comm_base_20,1283.56,566.96,20000.0,969.44,41.516751939263905
2,comm_base_40,797.74,337.06,40000.0,969.44,65.23147384056776
2,comm_base_60,495.24,200.2,60000.0,969.44,79.34890245915167
2,comm_base_80,349.2,132.26,80000.0,969.44,86.35707212411289
0,no_vax_base_ops,2084.44,949.84,0.0,949.84,0.0
0,vax_base_ops,1771.14,792.08,7090.16,949.84,16.609113113787586
0,no_vax_enh_ops,396.44,179.58,0.0,949.84,81.09365787922177
0,vax_enh_ops,367.58,164.76,7990.26,949.84,82.65392066032173
0,incremental_ring_vax,367.58,164.76,7990.26,179.58,8.252589375208833
0,no_vax_ring1_base_ops,2481.16,1130.06,0.0,949.84,-18.97372189000252
0,no_vax_ring1_enh_ops,604.86,275.22,0.0,1130.06,75.6455409447286
0,ring1_vax_base_ops,2297.34,1037.76,2149.96,1130.06,8.167707909314547
0,ring1_vax_enh_ops,537.58,235.38,4263.14,1130.06,79.17101746809904
