draw_id,scenario,mean_cases,mean_deaths,mean_doses,comparator_mean_deaths,deaths_averted_pct
0,no_vax_base_ops,2134.3,971.58,0.0,971.58,0.0
0,vax_base_ops,1970.8,889.78,7769.16,971.58,8.419275818769433
0,no_vax_enh_ops,472.32,214.8,0.0,971.58,77.89168159081085
0,vax_enh_ops,459.06,207.52,8156.72,971.58,78.64097655365487
0,incremental_ring_vax,459.06,207.52,8156.72,214.8,3.389199255121043
0,comm_base_20,1209.28,532.66,20000.0,971.58,45.175899051030285
0,comm_base_40,701.84,298.02,40000.0,971.58,69.32625208423393
0,comm_base_60,443.84,178.64,60000.0,971.58,81.61345437328886
0,comm_base_80,303.9,112.58,80000.0,971.58,88.41268861030485
3,no_vax_base_ops,1930.42,875.72,0.0,875.72,0.0
3,vax_base_ops,1779.6,800.44,7973.46,875.72,8.596354999314846
3,no_vax_enh_ops,344.98,156.38,0.0,875.72,82.14269401178458
3,vax_enh_ops,335.42,151.5,8264.9,875.72,82.69994975562965
3,incremental_ring_vax,335.42,151.5,8264.9,156.38,3.1206036577567438
3,comm_base_20,1050.74,461.56,20000.0,875.72,47.293655506326225
3,comm_base_40,615.28,259.48,40000.0,875.72,70.36952450554972
3,comm_base_60,390.7,156.84,60000.0,875.72,82.09016580642214
3,comm_base_80,263.98,98.86,80000.0,875.72,88.71100351710592
2,no_vax_base_ops,2423.44,1104.62,0.0,1104.62,0.0
2,vax_base_ops,2304.02,1041.58,7729.32,1104.62,5.706939943147868
2,no_vax_enh_ops,442.68,201.76,0.0,1104.62,81.73489525809781
2,vax_enh_ops,437.42,198.56,8219.14,1104.62,82.02458764099872
2,incremental_ring_vax,437.42,198.56,8219.14,201.76,1.5860428231562196
2,comm_base_20,1477.78,650.68,20000.0,1104.62,41.0946750918868
2,comm_base_40,953.52,402.12,40000.0,1104.62,63.59653093371475
2,comm_base_60,629.34,252.38,60000.0,1104.62,77.15232387608408
2,comm_base_80,437.78,165.04,80000.0,1104.62,85.05911535188572
4,no_vax_base_ops,1896.14,856.14,0.0,856.14,0.0
4,vax_base_ops,1687.68,756.06,8039.78,856.14,11.689676921998743
4,no_vax_enh_ops,435.5,197.94,0.0,856.14,76.87994954096293
4,vax_enh_ops,412.7,187.02,8267.58,856.14,78.15544186698438
4,incremental_ring_vax,412.7,187.02,8267.58,197.94,5.516823279781745
4,comm_base_20,1068.0,470.7,20000.0,856.14,45.020674188800896
4,comm_base_40,601.94,256.52,40000.0,856.14,70.03761067115191
4,comm_base_60,387.5,156.6,60000.0,856.14,81.70859906090125
4,comm_base_80,269.5,102.06,80000.0,856.14,88.07905249141496
5,no_vax_base_ops,1856.7,843.76,0.0,843.76,0.0
5,vax_base_ops,1739.3,784.88,7886.98,843.76,6.978287664738788
5,no_vax_enh_ops,368.9,167.82,0.0,843.76,80.110457950128
5,vax_enh_ops,363.58,165.62,8222.62,843.76,80.37119560064474
5,incremental_ring_vax,363.58,165.62,8222.62,167.82,1.3109283756405605
5,comm_base_20,1170.12,512.16,20000.0,843.76,39.30027495970418
5,comm_base_40,768.8,324.66,40000.0,843.76,61.522233810562234
5,comm_base_60,526.14,211.34,60000.0,843.76,74.95259315445149
5,comm_base_80,375.68,143.1,80000.0,843.76,83.04020100502512
1,no_vax_base_ops,2284.76,1033.0,0.0,1033.0,0.0
1,vax_base_ops,2120.94,951.12,7947.98,1033.0,7.9264278799612775
1,no_vax_enh_ops,431.66,191.8,0.0,1033.0,81.43272023233301
1,vax_enh_ops,421.04,186.04,8341.54,1033.0,81.99031945788964
1,incremental_ring_vax,421.04,186.04,8341.54,191.8,3.0031282586027213
1,comm_base_20,1397.28,607.98,20000.0,1033.0,41.14424007744434
1,comm_base_40,889.78,371.12,40000.0,1033.0,64.07357212003872
1,comm_base_60,601.08,238.22,60000.0,1033.0,76.93901258470474
1,comm_base_80,432.04,160.1,80000.0,1033.0,84.50145208131656
6,no_vax_base_ops,3576.32,1628.32,0.0,1628.32,0.0
6,vax_base_ops,3324.84,1503.68,7895.78,1628.32,7.654515083030355
6,no_vax_enh_ops,656.72,297.6,0.0,1628.32,81.72349415348333
6,vax_enh_ops,639.08,287.56,8256.06,1628.32,82.34008057384298
6,incremental_ring_vax,639.08,287.56,8256.06,297.6,3.373655913978501
6,comm_base_20,1777.34,789.86,20000.0,1628.32,51.49233565883855
6,comm_base_40,984.68,420.82,40000.0,1628.32,74.15618551636042
6,comm_base_60,603.54,243.18,60000.0,1628.32,85.06558907340082
6,comm_base_80,416.72,157.3,80000.0,1628.32,90.33973666109856
7,no_vax_base_ops,3514.5,1594.32,0.0,1594.32,0.0
7,vax_base_ops,3285.32,1478.8,7899.66,1594.32,7.245722314215464
7,no_vax_enh_ops,678.18,307.54,0.0,1594.32,80.71027146369613
7,vax_enh_ops,657.12,296.84,8256.84,1594.32,81.38140398414372
7,incremental_ring_vax,657.12,296.84,8256.84,307.54,3.4792222149964376
7,comm_base_20,2013.34,883.16,20000.0,1594.32,44.60585077023433
7,comm_base_40,1278.36,537.08,40000.0,1594.32,66.31291083345876
7,comm_base_60,815.06,326.38,60000.0,1594.32,79.52857644638466
7,comm_base_80,593.58,223.36,80000.0,1594.32,85.99026544232024
13,no_vax_base_ops,1856.88,843.94,0.0,843.94,0.0
13,vax_base_ops,1677.46,758.48,7902.88,843.94,10.126312297082734
13,no_vax_enh_ops,357.26,162.32,0.0,843.94,80.7664051946821
13,vax_enh_ops,349.26,158.14,8238.96,843.94,81.26170106879636
13,incremental_ring_vax,349.26,158.14,8238.96,162.32,2.5751601774273083
13,comm_base_20,1026.32,453.44,20000.0,843.94,46.27106192383345
13,comm_base_40,631.6,266.86,40000.0,843.94,68.37926866838875
13,comm_base_60,395.36,157.62,60000.0,843.94,81.32331682347086
13,comm_base_80,265.5,98.8,80000.0,843.94,88.29300661184446
12,no_vax_base_ops,1894.48,860.18,0.0,860.18,0.0
12,vax_base_ops,1742.04,785.1,7943.92,860.18,8.728405682531555
12,no_vax_enh_ops,399.64,181.94,0.0,860.18,78.84861308098306
12,vax_enh_ops,390.26,177.4,8229.28,860.18,79.37640958869075
12,incremental_ring_vax,390.26,177.4,8229.28,181.94,2.495328130152793
12,comm_base_20,1001.04,442.78,20000.0,860.18,48.52472738264085
12,comm_base_40,567.54,240.74,40000.0,860.18,72.0128345230068
12,comm_base_60,361.8,147.74,60000.0,860.18,82.8245250993978
12,comm_base_80,244.58,93.6,80000.0,860.18,89.11855658118068
11,no_vax_base_ops,2541.46,1155.06,0.0,1155.06,0.0
11,vax_base_ops,2405.8,1084.94,7849.92,1155.06,6.070680310979507
11,no_vax_enh_ops,385.8,172.7,0.0,1155.06,85.0483957543331
11,vax_enh_ops,371.28,165.28,8242.24,1155.06,85.69078662580299
11,incremental_ring_vax,371.28,165.28,8242.24,172.7,4.296467863346837
11,comm_base_20,1443.18,635.4,20000.0,1155.06,44.98987065606982
11,comm_base_40,858.28,360.12,40000.0,1155.06,68.82239883642409
11,comm_base_60,550.02,216.28,60000.0,1155.06,81.2754315793119
11,comm_base_80,369.8,136.08,80000.0,1155.06,88.218793828892
8,no_vax_base_ops,2607.82,1185.18,0.0,1185.18,0.0
8,vax_base_ops,2402.3,1082.62,7823.46,1185.18,8.653537859228148
8,no_vax_enh_ops,368.5,168.14,0.0,1185.18,85.81312543242377
8,vax_enh_ops,358.86,162.9,8307.2,1185.18,86.25525236672911
8,incremental_ring_vax,358.86,162.9,8307.2,168.14,3.116450576900191
8,comm_base_20,1456.98,644.56,20000.0,1185.18,45.615012065677796
8,comm_base_40,860.62,365.42,40000.0,1185.18,69.16755260804266
8,comm_base_60,553.14,222.6,60000.0,1185.18,81.21804282893737
8,comm_base_80,382.36,143.46,80000.0,1185.18,87.89550954285424
9,no_vax_base_ops,2391.58,1087.16,0.0,1087.16,0.0
9,vax_base_ops,2294.88,1033.44,7874.98,1087.16,4.941314985834654
9,no_vax_enh_ops,428.4,194.48,0.0,1087.16,82.11118878545936
9,vax_enh_ops,418.58,189.64,8262.62,1087.16,82.55638544464477
9,incremental_ring_vax,418.58,189.64,8262.62,194.48,2.4886877828054317
9,comm_base_20,1562.0,686.46,20000.0,1087.16,36.85750027594835
9,comm_base_40,1051.26,443.74,40000.0,1087.16,59.183560837411235
9,comm_base_60,733.58,295.32,60000.0,1087.16,72.8356451672247
9,comm_base_80,510.1,193.9,80000.0,1087.16,82.16453879833696
10,no_vax_base_ops,2938.7,1327.06,0.0,1327.06,0.0
10,vax_base_ops,2684.22,1204.58,8057.82,1327.06,9.22942444199961
10,no_vax_enh_ops,638.9,288.96,0.0,1327.06,78.22555121848295
10,vax_enh_ops,631.54,284.58,8301.32,1327.06,78.55560411737224
10,incremental_ring_vax,631.54,284.58,8301.32,288.96,1.5157807308970086
10,comm_base_20,1611.26,707.42,20000.0,1327.06,46.69268910222598
10,comm_base_40,963.5,405.82,40000.0,1327.06,69.41961930884813
10,comm_base_60,595.0,237.68,60000.0,1327.06,82.08973218995372
10,comm_base_80,419.46,156.6,80000.0,1327.06,88.19947854656158
14,no_vax_base_ops,1932.48,875.86,0.0,875.86,0.0
14,vax_base_ops,1801.9,811.72,7945.38,875.86,7.32308816477519
14,no_vax_enh_ops,466.18,211.6,0.0,875.86,75.84088781312082
14,vax_enh_ops,451.02,202.86,8285.3,875.86,76.83876418605713
14,incremental_ring_vax,451.02,202.86,8285.3,211.6,4.1304347826086865
14,comm_base_20,1170.7,515.34,20000.0,875.86,41.16182951613271
14,comm_base_40,782.42,330.04,40000.0,875.86,62.318178704359134
14,comm_base_60,524.52,211.22,60000.0,875.86,75.88427374237892
14,comm_base_80,369.86,139.5,80000.0,875.86,84.07279702235518
15,no_vax_base_ops,2618.88,1192.82,0.0,1192.82,0.0
15,vax_base_ops,2454.88,1109.14,8068.58,1192.82,7.015308261095542
15,no_vax_enh_ops,377.22,173.78,0.0,1192.82,85.43116312603746
15,vax_enh_ops,371.94,170.66,8360.42,1192.82,85.69272815680489
15,incremental_ring_vax,371.94,170.66,8360.42,173.78,1.795373460697436
15,comm_base_20,1497.16,659.04,20000.0,1192.82,44.74941734712698
15,comm_base_40,876.58,372.86,40000.0,1192.82,68.74130212437751
15,comm_base_60,588.38,239.46,60000.0,1192.82,79.92488388860012
15,comm_base_80,404.9,155.3,80000.0,1192.82,86.9804329236599
16,no_vax_base_ops,1777.72,808.42,0.0,808.42,0.0
16,vax_base_ops,1662.02,751.12,7699.28,808.42,7.087899854036263
16,no_vax_enh_ops,331.94,149.26,0.0,808.42,81.53682491774079
16,vax_enh_ops,328.32,146.68,8232.1,808.42,81.85596595828902
16,incremental_ring_vax,328.32,146.68,8232.1,149.26,1.7285274018491117
16,comm_base_20,1034.92,455.74,20000.0,808.42,43.625838054476624
16,comm_base_40,651.5,274.04,40000.0,808.42,66.10177877835777
16,comm_base_60,405.2,161.2,60000.0,808.42,80.05986986962223
16,comm_base_80,295.62,108.76,80000.0,808.42,86.5465970658816
17,no_vax_base_ops,1729.6,786.24,0.0,786.24,0.0
17,vax_base_ops,1593.88,719.64,7997.14,786.24,8.470695970695973
17,no_vax_enh_ops,417.14,188.5,0.0,786.24,76.02513227513228
17,vax_enh_ops,412.52,185.78,8248.92,786.24,76.37108262108262
17,incremental_ring_vax,412.52,185.78,8248.92,188.5,1.4429708222811666
17,comm_base_20,1161.02,513.34,20000.0,786.24,34.70950345950345
17,comm_base_40,782.02,332.54,40000.0,786.24,57.705026455026456
17,comm_base_60,554.36,224.62,60000.0,786.24,71.43111518111517
17,comm_base_80,425.46,163.92,80000.0,786.24,79.15140415140417
21,no_vax_base_ops,2335.44,1052.64,0.0,1052.64,0.0
21,vax_base_ops,2123.96,952.58,7960.12,1052.64,9.505623955008364
21,no_vax_enh_ops,450.88,203.12,0.0,1052.64,80.70375436996504
21,vax_enh_ops,440.18,197.86,8304.68,1052.64,81.20345037239703
21,incremental_ring_vax,440.18,197.86,8304.68,203.12,2.5896022055927483
21,comm_base_20,1247.12,547.58,20000.0,1052.64,47.980316157470746
21,comm_base_40,704.94,296.72,40000.0,1052.64,71.81182550539594
21,comm_base_60,472.78,188.72,60000.0,1052.64,82.07174342605258
21,comm_base_80,328.72,125.12,80000.0,1052.64,88.11369509043928
18,no_vax_base_ops,3587.28,1630.68,0.0,1630.68,0.0
18,vax_base_ops,3334.74,1505.92,7897.04,1630.68,7.650795986950229
18,no_vax_enh_ops,749.42,338.24,0.0,1630.68,79.2577329702946
18,vax_enh_ops,737.94,332.86,8244.5,1630.68,79.58765668310153
18,incremental_ring_vax,737.94,332.86,8244.5,338.24,1.5905865657521272
18,comm_base_20,1885.44,833.74,20000.0,1630.68,48.87163637255623
18,comm_base_40,1067.48,452.08,40000.0,1630.68,72.27659626658817
18,comm_base_60,671.74,270.04,60000.0,1630.68,83.44003728505899
18,comm_base_80,475.06,179.96,80000.0,1630.68,88.96411313071847
22,no_vax_base_ops,2531.62,1151.02,0.0,1151.02,0.0
22,vax_base_ops,2392.4,1079.78,7892.38,1151.02,6.1892929749265875
