strategy,horizon,replicate_id,simulation_seed,cases,deaths,doses
no_vax_base_ops,90,6,2026080406,1606.0000000000002,737.0,0
no_vax_enh_ops,90,6,2026080406,266.0,123.0,0
vax_base_ops,90,6,2026080406,1716.0000000000002,762.0,6422
vax_enh_ops,90,6,2026080406,237.00000000000003,106.0,7843
comm_base_40,90,6,2026080406,618.0,285.0,40000
comm_base_60,90,6,2026080406,403.0,173.0,60000
no_vax_base_ops,180,6,2026080406,5744.0,2589.0,0
no_vax_enh_ops,180,6,2026080406,267.0,124.0,0
vax_base_ops,180,6,2026080406,3232.0,1418.0,15082
vax_enh_ops,180,6,2026080406,237.00000000000003,106.0,16826
comm_base_40,180,6,2026080406,703.0,321.0,40000
comm_base_60,180,6,2026080406,417.99999999999994,180.0,60000
no_vax_base_ops,90,0,2026080400,1943.0,860.0,0
no_vax_enh_ops,90,0,2026080400,247.0,112.99999999999999,0
vax_base_ops,90,0,2026080400,1335.0,567.0,7053
vax_enh_ops,90,0,2026080400,194.0,87.0,8143
comm_base_40,90,0,2026080400,614.0,265.0,40000
comm_base_60,90,0,2026080400,393.00000000000006,158.0,60000
no_vax_base_ops,180,0,2026080400,6431.000000000001,2878.0,0
no_vax_enh_ops,180,0,2026080400,247.0,112.99999999999999,0
vax_base_ops,180,0,2026080400,2713.0,1161.0,15811
vax_enh_ops,180,0,2026080400,194.0,87.0,17119
comm_base_40,180,0,2026080400,793.0,332.0,40000
comm_base_60,180,0,2026080400,409.0,159.0,60000
no_vax_base_ops,90,1,2026080401,1366.0,631.0,0
no_vax_enh_ops,90,1,2026080401,248.0,109.0,0
vax_base_ops,90,1,2026080401,976.9999999999999,427.00000000000006,7350
vax_enh_ops,90,1,2026080401,227.0,97.0,7957
comm_base_40,90,1,2026080401,612.0,238.00000000000003,40000
comm_base_60,90,1,2026080401,393.00000000000006,153.0,60000
no_vax_base_ops,180,1,2026080401,4516.0,2058.0,0
no_vax_enh_ops,180,1,2026080401,255.00000000000003,111.00000000000001,0
vax_base_ops,180,1,2026080401,1536.0,677.0,16175
vax_enh_ops,180,1,2026080401,228.0,98.0,16931
comm_base_40,180,1,2026080401,729.0,285.0,40000
comm_base_60,180,1,2026080401,408.00000000000006,157.0,60000
no_vax_base_ops,90,4,2026080404,1731.0,792.0,0
no_vax_enh_ops,90,4,2026080404,390.0,178.0,0
vax_base_ops,90,4,2026080404,1317.0,571.0,7084
vax_enh_ops,90,4,2026080404,305.0,145.0,7974
comm_base_40,90,4,2026080404,728.0,312.0,40000
comm_base_60,90,4,2026080404,380.0,157.0,60000
no_vax_base_ops,180,4,2026080404,6230.0,2822.0,0
no_vax_enh_ops,180,4,2026080404,396.0,180.0,0
vax_base_ops,180,4,2026080404,3056.0,1320.0,15777
vax_enh_ops,180,4,2026080404,313.0,145.0,16936
comm_base_40,180,4,2026080404,1051.0,436.0,40000
comm_base_60,180,4,2026080404,393.00000000000006,159.0,60000
no_vax_base_ops,90,2,2026080402,1686.0,786.0000000000001,0
no_vax_enh_ops,90,2,2026080402,222.00000000000003,105.0,0
vax_base_ops,90,2,2026080402,1456.0,668.0,7078
vax_enh_ops,90,2,2026080402,187.0,88.0,8171
comm_base_40,90,2,2026080402,588.0,262.0,40000
comm_base_60,90,2,2026080402,479.99999999999994,195.0,60000
no_vax_base_ops,180,2,2026080402,6325.0,2888.0,0
no_vax_enh_ops,180,2,2026080402,229.0,108.0,0
vax_base_ops,180,2,2026080402,2993.0,1345.0,15761
vax_enh_ops,180,2,2026080402,187.0,88.0,17117
comm_base_40,180,2,2026080402,797.0,361.0,40000
comm_base_60,180,2,2026080402,490.0,199.0,60000
no_vax_base_ops,90,5,2026080405,1754.0,779.0,0
no_vax_enh_ops,90,5,2026080405,358.0,160.0,0
vax_base_ops,90,5,2026080405,1342.0,575.0,7131
vax_enh_ops,90,5,2026080405,248.0,115.0,7838
comm_base_40,90,5,2026080405,591.0,246.0,40000
comm_base_60,90,5,2026080405,361.0,142.0,60000
no_vax_base_ops,180,5,2026080405,6515.0,2916.0,0
no_vax_enh_ops,180,5,2026080405,361.0,161.0,0
vax_base_ops,180,5,2026080405,2673.0,1146.0,15857
vax_enh_ops,180,5,2026080405,251.0,116.0,16798
comm_base_40,180,5,2026080405,721.0,302.0,40000
comm_base_60,180,5,2026080405,396.99999999999994,157.0,60000
no_vax_base_ops,90,3,2026080403,2192.0,942.9999999999999,0
no_vax_enh_ops,90,3,2026080403,304.0,138.0,0
vax_base_ops,90,3,2026080403,1416.0,580.0,7690
vax_enh_ops,90,3,2026080403,257.0,108.0,8097
comm_base_40,90,3,2026080403,683.0,275.0,40000
comm_base_60,90,3,2026080403,468.0,175.0,60000
no_vax_base_ops,180,3,2026080403,7459.0,3345.9999999999995,0
no_vax_enh_ops,180,3,2026080403,308.0,140.0,0
vax_base_ops,180,3,2026080403,2535.0,1042.0,16383
vax_enh_ops,180,3,2026080403,257.0,108.0,17086
comm_base_40,180,3,2026080403,869.0,346.0,40000
comm_base_60,180,3,2026080403,496.99999999999994,180.0,60000
no_vax_base_ops,90,7,2026080407,2321.0,1076.0,0
no_vax_enh_ops,90,7,2026080407,312.0,147.0,0
vax_base_ops,90,7,2026080407,1731.9999999999998,778.0,7193
vax_enh_ops,90,7,2026080407,293.0,136.0,7884
comm_base_40,90,7,2026080407,683.0,287.0,40000
comm_base_60,90,7,2026080407,556.0,233.0,60000
no_vax_base_ops,180,7,2026080407,8122.0,3694.0,0
no_vax_enh_ops,180,7,2026080407,312.0,147.0,0
vax_base_ops,180,7,2026080407,3440.0,1531.0,15788
vax_enh_ops,180,7,2026080407,293.0,136.0,16840
comm_base_40,180,7,2026080407,859.0,350.0,40000
comm_base_60,180,7,2026080407,596.0,249.0,60000
no_vax_base_ops,90,8,2026080408,1175.0,550.0,0
no_vax_enh_ops,90,8,2026080408,234.0,110.0,0
vax_base_ops,90,8,2026080408,1188.0,543.0,6882
vax_enh_ops,90,8,2026080408,225.99999999999997,102.00000000000001,7886
comm_base_40,90,8,2026080408,317.0,143.0,40000
comm_base_60,90,8,2026080408,276.0,115.0,60000
no_vax_base_ops,180,8,2026080408,3449.0,1582.0,0
no_vax_enh_ops,180,8,2026080408,234.0,110.0,0
vax_base_ops,180,8,2026080408,2273.0,1003.0000000000001,15613
vax_enh_ops,180,8,2026080408,225.99999999999997,102.00000000000001,16874
comm_base_40,180,8,2026080408,348.0,157.0,40000
comm_base_60,180,8,2026080408,280.0,117.0,60000
no_vax_base_ops,90,12,2026080412,1594.0,728.0,0
no_vax_enh_ops,90,12,2026080412,190.0,83.0,0
vax_base_ops,90,12,2026080412,1231.0,544.0,7205
vax_enh_ops,90,12,2026080412,156.0,72.0,7956
comm_base_40,90,12,2026080412,509.0,207.99999999999997,40000
comm_base_60,90,12,2026080412,329.0,126.0,60000
no_vax_base_ops,180,12,2026080412,5682.0,2634.0,0
no_vax_enh_ops,180,12,2026080412,197.0,87.0,0
vax_base_ops,180,12,2026080412,2713.0,1209.0,15920
vax_enh_ops,180,12,2026080412,174.0,77.0,16944
comm_base_40,180,12,2026080412,621.0,248.0,40000
comm_base_60,180,12,2026080412,335.0,128.0,60000
no_vax_base_ops,90,9,2026080409,1978.9999999999998,906.0,0
no_vax_enh_ops,90,9,2026080409,273.0,127.00000000000001,0
vax_base_ops,90,9,2026080409,1976.0,882.0,6740
vax_enh_ops,90,9,2026080409,258.0,118.0,8126
comm_base_40,90,9,2026080409,658.0,282.0,40000
comm_base_60,90,9,2026080409,434.99999999999994,178.0,60000
no_vax_base_ops,180,9,2026080409,7000.000000000001,3213.0,0
no_vax_enh_ops,180,9,2026080409,273.0,127.00000000000001,0
vax_base_ops,180,9,2026080409,4314.0,1906.0,15290
vax_enh_ops,180,9,2026080409,267.0,120.99999999999999,17096
comm_base_40,180,9,2026080409,762.0,326.0,40000
comm_base_60,180,9,2026080409,449.0,184.0,60000
no_vax_base_ops,90,11,2026080411,1901.9999999999998,864.0,0
no_vax_enh_ops,90,11,2026080411,326.0,142.0,0
vax_base_ops,90,11,2026080411,1398.0,619.0,7000
vax_enh_ops,90,11,2026080411,273.0,117.0,8008
comm_base_40,90,11,2026080411,809.0,336.0,40000
comm_base_60,90,11,2026080411,417.0,155.0,60000
no_vax_base_ops,180,11,2026080411,6991.0,3204.0,0
no_vax_enh_ops,180,11,2026080411,334.0,145.0,0
vax_base_ops,180,11,2026080411,2578.0,1125.0,15777
vax_enh_ops,180,11,2026080411,273.0,117.0,16961
comm_base_40,180,11,2026080411,972.0,402.0,40000
comm_base_60,180,11,2026080411,447.0,164.0,60000
no_vax_base_ops,90,10,2026080410,1867.0,851.0,0
no_vax_enh_ops,90,10,2026080410,349.0,147.0,0
vax_base_ops,90,10,2026080410,1227.0,547.0,7515
vax_enh_ops,90,10,2026080410,292.0,124.0,8083
comm_base_40,90,10,2026080410,710.0,289.0,40000
comm_base_60,90,10,2026080410,388.0,153.0,60000
no_vax_base_ops,180,10,2026080410,6634.0,3004.0,0
no_vax_enh_ops,180,10,2026080410,371.0,160.0,0
vax_base_ops,180,10,2026080410,2612.0,1145.0,16261
vax_enh_ops,180,10,2026080410,298.0,126.0,17027
comm_base_40,180,10,2026080410,965.0000000000001,396.99999999999994,40000
comm_base_60,180,10,2026080410,417.0,162.0,60000
no_vax_base_ops,90,14,2026080414,2745.0,1250.0,0
no_vax_enh_ops,90,14,2026080414,303.0,137.0,0
vax_base_ops,90,14,2026080414,1546.0,694.0,7693
vax_enh_ops,90,14,2026080414,259.0,114.0,8348
comm_base_40,90,14,2026080414,869.0,364.0,40000
comm_base_60,90,14,2026080414,409.0,157.0,60000
no_vax_base_ops,180,14,2026080414,10022.0,4525.0,0
no_vax_enh_ops,180,14,2026080414,330.0,146.0,0
vax_base_ops,180,14,2026080414,2903.0,1273.0,16380
vax_enh_ops,180,14,2026080414,259.0,114.0,17333
comm_base_40,180,14,2026080414,1122.0,478.00000000000006,40000
comm_base_60,180,14,2026080414,410.00000000000006,157.0,60000
no_vax_base_ops,90,15,2026080415,2177.0,982.0000000000001,0
no_vax_enh_ops,90,15,2026080415,356.0,170.0,0
vax_base_ops,90,15,2026080415,1247.0,545.0,6856
vax_enh_ops,90,15,2026080415,325.0,152.0,8037
comm_base_40,90,15,2026080415,670.0,280.0,40000
comm_base_60,90,15,2026080415,428.0,183.0,60000
no_vax_base_ops,180,15,2026080415,7494.000000000001,3357.0000000000005,0
no_vax_enh_ops,180,15,2026080415,361.0,172.0,0
vax_base_ops,180,15,2026080415,2228.0,962.0,15568
vax_enh_ops,180,15,2026080415,326.0,152.0,16965
comm_base_40,180,15,2026080415,820.0000000000001,349.0,40000
comm_base_60,180,15,2026080415,446.00000000000006,192.0,60000
no_vax_base_ops,90,13,2026080413,1818.0000000000002,867.0000000000001,0
no_vax_enh_ops,90,13,2026080413,321.0,146.0,0
vax_base_ops,90,13,2026080413,1557.0,712.0,6604
vax_enh_ops,90,13,2026080413,298.0,136.0,8212
comm_base_40,90,13,2026080413,516.0,220.0,40000
comm_base_60,90,13,2026080413,398.99999999999994,151.0,60000
no_vax_base_ops,180,13,2026080413,5754.0,2591.0,0
no_vax_enh_ops,180,13,2026080413,321.0,146.0,0
vax_base_ops,180,13,2026080413,3343.0,1449.0,15247
vax_enh_ops,180,13,2026080413,304.0,137.0,17145
comm_base_40,180,13,2026080413,603.0,258.0,40000
comm_base_60,180,13,2026080413,412.00000000000006,155.0,60000
no_vax_base_ops,90,16,2026080416,2451.0,1061.0,0
no_vax_enh_ops,90,16,2026080416,246.0,109.0,0
vax_base_ops,90,16,2026080416,1650.0,691.0,6707
vax_enh_ops,90,16,2026080416,238.00000000000003,106.0,8117
comm_base_40,90,16,2026080416,558.0,227.0,40000
comm_base_60,90,16,2026080416,415.99999999999994,174.0,60000
no_vax_base_ops,180,16,2026080416,8769.0,3905.9999999999995,0
no_vax_enh_ops,180,16,2026080416,263.0,117.0,0
vax_base_ops,180,16,2026080416,3155.0,1353.0,15398
vax_enh_ops,180,16,2026080416,256.0,111.99999999999999,17083
comm_base_40,180,16,2026080416,717.0,298.0,40000
comm_base_60,180,16,2026080416,434.99999999999994,179.0,60000
no_vax_base_ops,90,18,2026080418,1535.0,716.0,0
no_vax_enh_ops,90,18,2026080418,302.0,146.0,0
vax_base_ops,90,18,2026080418,1122.0,505.0,7355
vax_enh_ops,90,18,2026080418,254.00000000000003,118.0,8261
comm_base_40,90,18,2026080418,637.0,266.0,40000
comm_base_60,90,18,2026080418,527.0,216.0,60000
