analysis,base_deaths,coverage,max_vaccines,mortality_reduction_pct,radius,replicate,risk,scenario_deaths,seed,ve_i,ve_m
fig3_risk_compensation,993.0,0.4,0,80.86606243705941,2,0,1.0,190.0,2026705000,0.75,0.75
fig3_risk_compensation,945.0,0.4,0,78.3068783068783,2,1,1.0,205.00000000000003,2026705001,0.75,0.75
fig3_risk_compensation,621.0,0.4,0,71.17552334943639,2,2,1.0,179.0,2026705002,0.75,0.75
fig3_risk_compensation,479.99999999999994,0.4,0,70.0,2,3,1.0,144.0,2026705003,0.75,0.75
fig3_risk_compensation,537.0,0.4,0,69.08752327746741,2,4,1.0,166.0,2026705004,0.75,0.75
fig3_risk_compensation,826.0,0.4,0,84.01937046004842,2,5,1.0,132.0,2026705005,0.75,0.75
fig3_risk_compensation,931.0,0.4,0,84.5327604726101,2,6,1.0,144.0,2026705006,0.75,0.75
fig3_risk_compensation,884.0000000000001,0.4,0,74.6606334841629,2,7,1.0,223.99999999999997,2026705007,0.75,0.75
fig3_risk_compensation,955.0,0.4,0,77.06806282722513,2,8,1.0,219.0,2026705008,0.75,0.75
fig3_risk_compensation,1014.0,0.4,0,76.33136094674556,2,9,1.0,239.99999999999997,2026705009,0.75,0.75
fig3_risk_compensation,946.9999999999999,0.4,0,81.09820485744456,2,10,1.0,179.0,2026705010,0.75,0.75
fig3_risk_compensation,984.0,0.4,0,77.84552845528455,2,11,1.0,218.0,2026705011,0.75,0.75
fig3_risk_compensation,1120.0,0.4,0,83.83928571428571,2,12,1.0,181.0,2026705012,0.75,0.75
fig3_risk_compensation,781.0,0.4,0,73.4955185659411,2,13,1.0,206.99999999999997,2026705013,0.75,0.75
fig3_risk_compensation,1169.0,0.4,0,80.32506415739948,2,14,1.0,230.0,2026705014,0.75,0.75
fig3_risk_compensation,903.0,0.4,0,73.421926910299,2,15,1.0,239.99999999999997,2026705015,0.75,0.75
fig3_risk_compensation,906.0,0.4,0,76.49006622516556,2,16,1.0,213.0,2026705016,0.75,0.75
fig3_risk_compensation,979.0,0.4,0,76.91521961184883,2,17,1.0,225.99999999999997,2026705017,0.75,0.75
fig3_risk_compensation,692.0,0.4,0,79.76878612716763,2,18,1.0,140.0,2026705018,0.75,0.75
fig3_risk_compensation,755.0,0.4,0,78.27814569536424,2,19,1.0,164.0,2026705019,0.75,0.75
fig3_risk_compensation,758.0,0.4,0,75.32981530343008,2,20,1.0,187.0,2026705020,0.75,0.75
fig3_risk_compensation,971.0,0.4,0,80.74150360453142,2,21,1.0,187.0,2026705021,0.75,0.75
fig3_risk_compensation,737.0,0.4,0,78.42605156037992,2,22,1.0,159.0,2026705022,0.75,0.75
fig3_risk_compensation,1068.0,0.4,0,75.93632958801498,2,23,1.0,257.0,2026705023,0.75,0.75
fig3_risk_compensation,569.0,0.4,0,74.34094903339192,2,24,1.0,146.0,2026705024,0.75,0.75
fig3_risk_compensation,873.0,0.4,0,75.14318442153494,2,25,1.0,217.0,2026705025,0.75,0.75
fig3_risk_compensation,651.0,0.4,0,82.94930875576037,2,26,1.0,111.00000000000001,2026705026,0.75,0.75
fig3_risk_compensation,635.0,0.4,0,66.14173228346456,2,27,1.0,215.0,2026705027,0.75,0.75
fig3_risk_compensation,925.0,0.4,0,79.67567567567568,2,28,1.0,188.0,2026705028,0.75,0.75
fig3_risk_compensation,1021.0,0.4,0,83.2517140058766,2,29,1.0,171.0,2026705029,0.75,0.75
fig3_risk_compensation,829.0,0.4,0,74.18576598311218,2,30,1.0,214.0,2026705030,0.75,0.75
fig3_risk_compensation,868.0,0.4,0,81.33640552995392,2,31,1.0,162.0,2026705031,0.75,0.75
fig3_risk_compensation,745.0,0.4,0,79.19463087248322,2,32,1.0,155.0,2026705032,0.75,0.75
fig3_risk_compensation,720.0,0.4,0,74.30555555555556,2,33,1.0,185.0,2026705033,0.75,0.75
fig3_risk_compensation,1004.0,0.4,0,73.40637450199203,2,34,1.0,267.0,2026705034,0.75,0.75
fig3_risk_compensation,826.0,0.4,0,78.69249394673123,2,35,1.0,176.0,2026705035,0.75,0.75
fig3_risk_compensation,841.0000000000001,0.4,0,81.45065398335316,2,36,1.0,156.0,2026705036,0.75,0.75
fig3_risk_compensation,876.0,0.4,0,69.40639269406392,2,37,1.0,268.0,2026705037,0.75,0.75
fig3_risk_compensation,656.0,0.4,0,79.8780487804878,2,38,1.0,132.0,2026705038,0.75,0.75
fig3_risk_compensation,602.0,0.4,0,71.42857142857143,2,39,1.0,172.0,2026705039,0.75,0.75
fig3_risk_compensation,789.0,0.4,0,69.83523447401774,2,40,1.0,238.00000000000003,2026705040,0.75,0.75
fig3_risk_compensation,779.0,0.4,0,74.1976893453145,2,41,1.0,201.0,2026705041,0.75,0.75
fig3_risk_compensation,1003.0000000000001,0.4,0,79.8604187437687,2,42,1.0,202.0,2026705042,0.75,0.75
fig3_risk_compensation,745.0,0.4,0,77.58389261744966,2,43,1.0,167.0,2026705043,0.75,0.75
fig3_risk_compensation,1060.0,0.4,0,88.9622641509434,2,44,1.0,117.0,2026705044,0.75,0.75
fig3_risk_compensation,953.0,0.4,0,78.69884575026234,2,45,1.0,203.0,2026705045,0.75,0.75
fig3_risk_compensation,653.0,0.4,0,76.26339969372128,2,46,1.0,155.0,2026705046,0.75,0.75
fig3_risk_compensation,837.0000000000001,0.4,0,74.43249701314218,2,47,1.0,214.0,2026705047,0.75,0.75
fig3_risk_compensation,889.0,0.4,0,80.08998875140607,2,48,1.0,177.0,2026705048,0.75,0.75
fig3_risk_compensation,1050.0,0.4,0,83.04761904761905,2,49,1.0,178.0,2026705049,0.75,0.75
fig3_risk_compensation,999.0000000000001,0.4,0,80.58058058058059,2,50,1.0,194.0,2026705050,0.75,0.75
fig3_risk_compensation,907.0,0.4,0,82.35942668136714,2,51,1.0,160.0,2026705051,0.75,0.75
fig3_risk_compensation,949.0,0.4,0,82.50790305584826,2,52,1.0,166.0,2026705052,0.75,0.75
fig3_risk_compensation,693.0,0.4,0,74.31457431457432,2,53,1.0,178.0,2026705053,0.75,0.75
fig3_risk_compensation,893.0,0.4,0,76.1478163493841,2,54,1.0,213.0,2026705054,0.75,0.75
fig3_risk_compensation,1027.0,0.4,0,83.93378773125609,2,55,1.0,165.0,2026705055,0.75,0.75
fig3_risk_compensation,736.0,0.4,0,68.75,2,56,1.0,230.0,2026705056,0.75,0.75
fig3_risk_compensation,805.0,0.4,0,79.00621118012423,2,57,1.0,169.0,2026705057,0.75,0.75
fig3_risk_compensation,1025.0,0.4,0,77.65853658536585,2,58,1.0,229.0,2026705058,0.75,0.75
fig3_risk_compensation,768.0,0.4,0,75.78125,2,59,1.0,186.0,2026705059,0.75,0.75
fig3_risk_compensation,733.0,0.4,0,72.98772169167803,2,60,1.0,198.0,2026705060,0.75,0.75
fig3_risk_compensation,835.0,0.4,0,80.95808383233533,2,61,1.0,159.0,2026705061,0.75,0.75
fig3_risk_compensation,801.0,0.4,0,80.52434456928839,2,62,1.0,156.0,2026705062,0.75,0.75
fig3_risk_compensation,923.0,0.4,0,81.14842903575298,2,63,1.0,174.0,2026705063,0.75,0.75
fig3_risk_compensation,1022.0,0.4,0,82.7788649706458,2,64,1.0,176.0,2026705064,0.75,0.75
fig3_risk_compensation,914.0,0.4,0,76.58643326039387,2,65,1.0,214.0,2026705065,0.75,0.75
fig3_risk_compensation,800.0,0.4,0,81.375,2,66,1.0,149.0,2026705066,0.75,0.75
fig3_risk_compensation,724.0,0.4,0,71.68508287292818,2,67,1.0,205.00000000000003,2026705067,0.75,0.75
fig3_risk_compensation,702.0,0.4,0,78.4900284900285,2,68,1.0,151.0,2026705068,0.75,0.75
fig3_risk_compensation,788.0,0.4,0,75.63451776649747,2,69,1.0,192.0,2026705069,0.75,0.75
fig3_risk_compensation,825.0,0.4,0,78.42424242424242,2,70,1.0,178.0,2026705070,0.75,0.75
fig3_risk_compensation,937.0,0.4,0,81.96371398078975,2,71,1.0,169.0,2026705071,0.75,0.75
fig3_risk_compensation,742.0,0.4,0,76.54986522911051,2,72,1.0,174.0,2026705072,0.75,0.75
fig3_risk_compensation,675.0,0.4,0,76.44444444444444,2,73,1.0,159.0,2026705073,0.75,0.75
fig3_risk_compensation,809.0,0.4,0,79.97527812113721,2,74,1.0,162.0,2026705074,0.75,0.75
fig3_risk_compensation,790.0000000000001,0.4,0,80.12658227848102,2,75,1.0,157.0,2026705075,0.75,0.75
fig3_risk_compensation,772.0,0.4,0,70.07772020725389,2,76,1.0,231.0,2026705076,0.75,0.75
fig3_risk_compensation,861.0,0.4,0,82.92682926829268,2,77,1.0,147.0,2026705077,0.75,0.75
fig3_risk_compensation,980.9999999999999,0.4,0,82.77268093781855,2,78,1.0,169.0,2026705078,0.75,0.75
fig3_risk_compensation,761.0,0.4,0,77.00394218134034,2,79,1.0,175.0,2026705079,0.75,0.75
fig3_risk_compensation,844.9999999999999,0.4,0,78.10650887573964,2,80,1.0,185.0,2026705080,0.75,0.75
fig3_risk_compensation,599.0,0.4,0,81.63606010016694,2,81,1.0,110.0,2026705081,0.75,0.75
fig3_risk_compensation,1001.9999999999999,0.4,0,76.94610778443113,2,82,1.0,231.0,2026705082,0.75,0.75
fig3_risk_compensation,826.0,0.4,0,82.08232445520581,2,83,1.0,148.0,2026705083,0.75,0.75
fig3_risk_compensation,838.0,0.4,0,79.83293556085918,2,84,1.0,169.0,2026705084,0.75,0.75
fig3_risk_compensation,509.0,0.4,0,76.2278978388998,2,85,1.0,120.99999999999999,2026705085,0.75,0.75
fig3_risk_compensation,533.0,0.4,0,74.48405253283302,2,86,1.0,136.0,2026705086,0.75,0.75
