analysis,base_deaths,immune_midpoint,max_vaccines,mortality_reduction_pct,radius,replicate,scenario_deaths,seed,ve_i,ve_m
fig4_immune_onset,890.0,5.0,,42.13483146067416,2,0,515.0,2026800000,0.45,0.45
fig4_immune_onset,694.0,5.0,,3.025936599423631,2,1,673.0,2026800001,0.45,0.45
fig4_immune_onset,619.0,5.0,,20.678513731825515,2,2,491.00000000000006,2026800002,0.45,0.45
fig4_immune_onset,568.0,5.0,,38.732394366197184,2,3,348.0,2026800003,0.45,0.45
fig4_immune_onset,801.0,5.0,,12.60923845193508,2,4,700.0,2026800004,0.45,0.45
fig4_immune_onset,768.0,5.0,,25.78125,2,5,570.0,2026800005,0.45,0.45
fig4_immune_onset,742.0,5.0,,42.99191374663073,2,6,423.0,2026800006,0.45,0.45
fig4_immune_onset,687.0,5.0,,15.720524017467248,2,7,579.0,2026800007,0.45,0.45
fig4_immune_onset,611.0,5.0,,30.4418985270049,2,8,425.00000000000006,2026800008,0.45,0.45
fig4_immune_onset,570.0,5.0,,25.614035087719298,2,9,424.0,2026800009,0.45,0.45
fig4_immune_onset,757.0,5.0,,33.15719947159842,2,10,506.0,2026800010,0.45,0.45
fig4_immune_onset,768.0,5.0,,33.333333333333336,2,11,512.0,2026800011,0.45,0.45
fig4_immune_onset,732.0,5.0,,31.010928961748633,2,12,505.0,2026800012,0.45,0.45
fig4_immune_onset,1143.0,5.0,,40.24496937882765,2,13,683.0,2026800013,0.45,0.45
fig4_immune_onset,916.0,5.0,,19.104803493449783,2,14,741.0,2026800014,0.45,0.45
fig4_immune_onset,882.9999999999999,5.0,,31.483578708946766,2,15,605.0,2026800015,0.45,0.45
fig4_immune_onset,921.0,5.0,,41.15092290988056,2,16,542.0,2026800016,0.45,0.45
fig4_immune_onset,991.0,5.0,,24.924318869828458,2,17,744.0,2026800017,0.45,0.45
fig4_immune_onset,769.0,5.0,,18.855656697009103,2,18,624.0,2026800018,0.45,0.45
fig4_immune_onset,714.0,5.0,,25.350140056022408,2,19,533.0,2026800019,0.45,0.45
fig4_immune_onset,612.0,5.0,,1.3071895424836601,2,20,604.0,2026800020,0.45,0.45
fig4_immune_onset,878.9999999999999,5.0,,38.33902161547211,2,21,542.0,2026800021,0.45,0.45
fig4_immune_onset,568.0,5.0,,2.640845070422535,2,22,553.0,2026800022,0.45,0.45
fig4_immune_onset,877.0,5.0,,43.443557582668184,2,23,496.0,2026800023,0.45,0.45
fig4_immune_onset,693.0,5.0,,26.551226551226552,2,24,509.0,2026800024,0.45,0.45
fig4_immune_onset,780.0,5.0,,35.38461538461539,2,25,504.0,2026800025,0.45,0.45
fig4_immune_onset,583.0,5.0,,10.120068610634648,2,26,524.0,2026800026,0.45,0.45
fig4_immune_onset,1001.0,5.0,,41.55844155844156,2,27,585.0,2026800027,0.45,0.45
fig4_immune_onset,703.0,5.0,,34.70839260312943,2,28,459.00000000000006,2026800028,0.45,0.45
fig4_immune_onset,589.0,5.0,,28.35314091680815,2,29,422.0,2026800029,0.45,0.45
fig4_immune_onset,589.0,5.0,,25.806451612903224,2,30,437.0,2026800030,0.45,0.45
fig4_immune_onset,884.0000000000001,5.0,,40.045248868778295,2,31,530.0,2026800031,0.45,0.45
