coverage,delay,replicate,seed,base_deaths,scenario_deaths,mortality_reduction_pct
0.8,0.0,0,2026900000,1216.0,145.0,88.07565789473684
0.8,0.0,1,2026900001,1023.0,106.0,89.63831867057674
0.8,0.0,2,2026900002,1164.0,117.0,89.94845360824742
0.8,0.0,3,2026900003,1039.0,154.0,85.17805582290664
0.8,0.0,4,2026900004,982.0000000000001,146.0,85.13238289205704
0.8,0.0,5,2026900005,1496.0,146.0,90.24064171122994
0.8,0.0,6,2026900006,780.0,135.0,82.6923076923077
0.8,0.0,7,2026900007,1161.0,114.0,90.18087855297158
0.8,0.0,8,2026900008,886.9999999999999,116.0,86.92220969560316
0.8,0.0,9,2026900009,1064.0,94.0,91.16541353383458
0.8,0.0,10,2026900010,1102.0,142.0,87.11433756805808
0.8,0.0,11,2026900011,1365.0,170.0,87.54578754578755
0.8,0.0,12,2026900012,1187.0,168.0,85.84667228306655
0.8,0.0,13,2026900013,1273.0,125.0,90.18067556952082
0.8,0.0,14,2026900014,963.9999999999999,123.0,87.24066390041493
0.8,0.0,15,2026900015,1409.0,153.0,89.14123491838183
0.8,0.0,16,2026900016,1028.0,147.0,85.70038910505836
0.8,0.0,17,2026900017,759.0,123.0,83.79446640316206
0.8,0.0,18,2026900018,1653.0,187.0,88.68723532970357
0.8,0.0,19,2026900019,1318.0,151.0,88.5432473444613
0.8,0.0,20,2026900020,942.9999999999999,145.0,84.62354188759278
0.8,0.0,21,2026900021,980.0,166.0,83.06122448979592
0.8,0.0,22,2026900022,1556.0,169.0,89.1388174807198
0.8,0.0,23,2026900023,1255.0,134.0,89.32270916334662
0.8,0.0,24,2026900024,1327.0,164.0,87.64129615674453
0.8,0.0,25,2026900025,912.0,92.0,89.91228070175438
0.8,0.0,26,2026900026,1380.0,147.0,89.34782608695652
0.8,0.0,27,2026900027,742.0,108.0,85.44474393530997
0.8,0.0,28,2026900028,1296.0,171.0,86.80555555555556
0.8,0.0,29,2026900029,1112.0,167.0,84.9820143884892
0.8,0.0,30,2026900030,1222.0,141.0,88.46153846153847
0.8,0.0,31,2026900031,1298.0,106.0,91.83359013867488
0.8,0.0,32,2026900032,1022.0,140.0,86.3013698630137
0.8,0.0,33,2026900033,1056.0,150.0,85.79545454545455
0.8,0.0,34,2026900034,875.0000000000001,105.0,88.0
0.8,0.0,35,2026900035,1159.0,138.0,88.09318377911993
0.8,0.0,36,2026900036,1099.0,167.0,84.80436760691538
0.8,0.0,37,2026900037,1217.0,153.0,87.42810188989318
0.8,0.0,38,2026900038,633.0,111.00000000000001,82.46445497630332
0.8,0.0,39,2026900039,1049.0,115.0,89.0371782650143
0.8,0.0,40,2026900040,1078.0,166.0,84.60111317254174
0.8,0.0,41,2026900041,933.9999999999999,111.00000000000001,88.11563169164882
0.8,0.0,42,2026900042,1395.0,119.00000000000001,91.4695340501792
0.8,0.0,43,2026900043,874.0,129.0,85.24027459954233
0.8,0.0,44,2026900044,1027.0,119.99999999999999,88.31548198636806
0.8,0.0,45,2026900045,1118.0,176.0,84.25760286225403
0.8,0.0,46,2026900046,899.9999999999999,103.99999999999999,88.44444444444444
0.8,0.0,47,2026900047,1290.0,152.0,88.21705426356588
0.8,0.0,48,2026900048,1433.0,172.0,87.99720865317515
0.8,0.0,49,2026900049,924.0,117.0,87.33766233766234
0.8,0.0,50,2026900050,1554.0,185.0,88.0952380952381
0.8,0.0,51,2026900051,1241.0,117.0,90.57211925866237
0.8,0.0,52,2026900052,1119.0,151.0,86.50580875781948
0.8,0.0,53,2026900053,1175.0,134.0,88.59574468085107
0.8,0.0,54,2026900054,1055.0,135.0,87.20379146919431
0.8,0.0,55,2026900055,1139.0,167.0,85.33801580333626
0.8,0.0,56,2026900056,1022.0,130.0,87.27984344422701
0.8,0.0,57,2026900057,739.0,105.0,85.79161028416779
0.8,0.0,58,2026900058,1339.0,136.0,89.84316654219568
0.8,0.0,59,2026900059,677.0,109.0,83.89955686853767
0.8,0.0,60,2026900060,1124.0,110.0,90.2135231316726
0.8,0.0,61,2026900061,1110.0,139.0,87.47747747747748
0.8,0.0,62,2026900062,1224.0,179.0,85.37581699346406
0.8,0.0,63,2026900063,1256.0,147.0,88.29617834394904
0.8,0.0,64,2026900064,1288.0,152.0,88.19875776397515
0.8,0.0,65,2026900065,954.0,132.0,86.16352201257861
0.8,0.0,66,2026900066,893.0,88.0,90.14557670772676
0.8,0.0,67,2026900067,1065.0,122.0,88.54460093896714
0.8,0.0,68,2026900068,868.0,106.0,87.78801843317973
0.8,0.0,69,2026900069,1478.0,186.0,87.41542625169147
0.8,0.0,70,2026900070,1096.0,133.0,87.86496350364963
0.8,0.0,71,2026900071,1198.0,138.0,88.48080133555926
0.8,0.0,72,2026900072,1146.0,163.0,85.77661431064573
0.8,0.0,73,2026900073,1709.0,221.00000000000003,87.06846108835576
0.8,0.0,74,2026900074,1050.0,135.0,87.14285714285714
0.8,0.0,75,2026900075,1065.0,137.0,87.13615023474179
0.8,0.0,76,2026900076,683.0,109.0,84.04099560761347
0.8,0.0,77,2026900077,1244.0,140.0,88.7459807073955
0.8,0.0,78,2026900078,1252.0,153.0,87.77955271565496
0.8,0.0,79,2026900079,973.0000000000001,88.0,90.95580678314492
0.8,0.0,80,2026900080,1731.0,215.0,87.579433853264
0.8,0.0,81,2026900081,1089.0,139.0,87.23599632690542
0.8,0.0,82,2026900082,735.0,70.0,90.47619047619048
0.8,0.0,83,2026900083,895.9999999999999,103.00000000000001,88.50446428571428
0.8,0.0,84,2026900084,1259.0,122.0,90.30976965845909
0.8,0.0,85,2026900085,1027.0,147.0,85.68646543330088
0.8,0.0,86,2026900086,1305.0,168.0,87.1264367816092
0.8,0.0,87,2026900087,1139.0,152.0,86.65496049165935
0.8,0.0,88,2026900088,1089.0,171.0,84.29752066115702
0.8,0.0,89,2026900089,1038.0,161.0,84.48940269749518
