analysis,base_deaths,immune_midpoint,max_vaccines,mortality_reduction_pct,radius,replicate,scenario_deaths,seed,ve_i,ve_m
fig4_immune_onset,685.0,5.0,,10.218978102189782,2,0,615.0,2026800000,0.45,0.45
fig4_immune_onset,1352.0,5.0,,-0.8136094674556213,2,1,1363.0,2026800001,0.45,0.45
fig4_immune_onset,844.0,5.0,,9.834123222748815,2,2,761.0,2026800002,0.45,0.45
fig4_immune_onset,976.9999999999999,5.0,,-5.9365404298874225,2,3,1035.0,2026800003,0.45,0.45
fig4_immune_onset,694.0,5.0,,22.046109510086456,2,4,541.0,2026800004,0.45,0.45
fig4_immune_onset,1295.0,5.0,,22.54826254826254,2,5,1003.0000000000001,2026800005,0.45,0.45
fig4_immune_onset,1285.0,5.0,,11.284046692607005,2,6,1140.0,2026800006,0.45,0.45
fig4_immune_onset,890.0,5.0,,20.224719101123597,2,7,710.0,2026800007,0.45,0.45
fig4_immune_onset,1346.0,5.0,,13.298662704309065,2,8,1167.0,2026800008,0.45,0.45
fig4_immune_onset,1008.0,5.0,,9.126984126984127,2,9,916.0,2026800009,0.45,0.45
fig4_immune_onset,1192.0,5.0,,3.7751677852348995,2,10,1147.0,2026800010,0.45,0.45
fig4_immune_onset,925.9999999999999,5.0,,2.915766738660895,2,11,899.0,2026800011,0.45,0.45
fig4_immune_onset,1330.0,5.0,,8.270676691729323,2,12,1220.0,2026800012,0.45,0.45
fig4_immune_onset,810.0,5.0,,6.666666666666667,2,13,756.0,2026800013,0.45,0.45
fig4_immune_onset,793.9999999999999,5.0,,2.267002518891674,2,14,776.0,2026800014,0.45,0.45
fig4_immune_onset,847.0,5.0,,3.541912632821724,2,15,817.0,2026800015,0.45,0.45
fig4_immune_onset,1040.0,5.0,,-1.25,2,16,1053.0,2026800016,0.45,0.45
fig4_immune_onset,1368.0,5.0,,14.25438596491228,2,17,1173.0,2026800017,0.45,0.45
fig4_immune_onset,899.9999999999999,5.0,,10.22222222222221,2,18,808.0,2026800018,0.45,0.45
fig4_immune_onset,911.0,5.0,,9.549945115257946,2,19,824.0000000000001,2026800019,0.45,0.45
fig4_immune_onset,1034.0,5.0,,5.415860735009671,2,20,978.0,2026800020,0.45,0.45
fig4_immune_onset,1308.0,5.0,,1.452599388379205,2,21,1289.0,2026800021,0.45,0.45
fig4_immune_onset,1162.0,5.0,,12.220309810671248,2,22,1020.0000000000001,2026800022,0.45,0.45
fig4_immune_onset,993.0,5.0,,11.983887210473313,2,23,874.0,2026800023,0.45,0.45
fig4_immune_onset,1101.0,5.0,,29.791099000908265,2,24,773.0,2026800024,0.45,0.45
fig4_immune_onset,975.0,5.0,,-2.3589743589743475,2,25,997.9999999999999,2026800025,0.45,0.45
fig4_immune_onset,875.0000000000001,5.0,,2.3999999999999995,2,26,854.0000000000001,2026800026,0.45,0.45
fig4_immune_onset,1239.0,5.0,,8.797417271993544,2,27,1130.0,2026800027,0.45,0.45
fig4_immune_onset,948.0000000000001,5.0,,-11.603375527426147,2,28,1058.0,2026800028,0.45,0.45
fig4_immune_onset,1283.0,5.0,,24.629773967264224,2,29,967.0,2026800029,0.45,0.45
fig4_immune_onset,1057.0,5.0,,-0.7568590350047304,2,30,1065.0,2026800030,0.45,0.45
fig4_immune_onset,894.0,5.0,,21.588366890380314,2,31,701.0,2026800031,0.45,0.45
fig4_immune_onset,1355.0,5.0,,14.981549815498155,2,32,1152.0,2026800032,0.45,0.45
fig4_immune_onset,1541.0,5.0,,12.00519143413368,2,33,1356.0,2026800033,0.45,0.45
fig4_immune_onset,1281.0,5.0,,3.747072599531616,2,34,1233.0,2026800034,0.45,0.45
fig4_immune_onset,949.0,5.0,,-19.599578503688093,2,35,1135.0,2026800035,0.45,0.45
fig4_immune_onset,1084.0,5.0,,9.22509225092251,2,36,984.0,2026800036,0.45,0.45
fig4_immune_onset,1344.0,5.0,,2.6041666666666665,2,37,1309.0,2026800037,0.45,0.45
fig4_immune_onset,1279.0,5.0,,5.7857701329163405,2,38,1205.0,2026800038,0.45,0.45
fig4_immune_onset,1328.0,5.0,,4.141566265060241,2,39,1273.0,2026800039,0.45,0.45
fig4_immune_onset,990.0000000000001,5.0,,8.686868686868708,2,40,903.9999999999999,2026800040,0.45,0.45
fig4_immune_onset,1001.0,5.0,,0.6993006993007107,2,41,993.9999999999999,2026800041,0.45,0.45
fig4_immune_onset,1095.0,5.0,,33.97260273972603,2,42,723.0,2026800042,0.45,0.45
fig4_immune_onset,865.0,5.0,,2.3121387283237125,2,43,844.9999999999999,2026800043,0.45,0.45
fig4_immune_onset,1271.0,5.0,,6.215578284815106,2,44,1192.0,2026800044,0.45,0.45
fig4_immune_onset,831.0,5.0,,-3.0084235860409145,2,45,856.0,2026800045,0.45,0.45
fig4_immune_onset,1509.0,5.0,,8.416169648774023,2,46,1382.0,2026800046,0.45,0.45
fig4_immune_onset,1279.0,5.0,,-2.4237685691946833,2,47,1310.0,2026800047,0.45,0.45
fig4_immune_onset,801.9999999999999,5.0,,19.326683291770564,2,48,647.0,2026800048,0.45,0.45
fig4_immune_onset,1107.0,5.0,,13.188798554652212,2,49,961.0,2026800049,0.45,0.45
fig4_immune_onset,872.0,5.0,,4.243119266055046,2,50,835.0,2026800050,0.45,0.45
fig4_immune_onset,916.0,5.0,,6.768558951965054,2,51,854.0000000000001,2026800051,0.45,0.45
fig4_immune_onset,919.0,5.0,,23.93906420021763,2,52,699.0,2026800052,0.45,0.45
fig4_immune_onset,1162.0,5.0,,20.137693631669535,2,53,928.0,2026800053,0.45,0.45
fig4_immune_onset,1291.0,5.0,,11.618900077459333,2,54,1141.0,2026800054,0.45,0.45
fig4_immune_onset,1268.0,5.0,,2.050473186119874,2,55,1242.0,2026800055,0.45,0.45
fig4_immune_onset,1026.0,5.0,,-2.1442495126705654,2,56,1048.0,2026800056,0.45,0.45
fig4_immune_onset,608.0,5.0,,23.19078947368422,2,57,466.99999999999994,2026800057,0.45,0.45
fig4_immune_onset,1427.0,5.0,,7.848633496846531,2,58,1315.0,2026800058,0.45,0.45
fig4_immune_onset,1413.0,5.0,,12.24345364472753,2,59,1240.0,2026800059,0.45,0.45
fig4_immune_onset,881.0,5.0,,-0.4540295119182747,2,60,885.0,2026800060,0.45,0.45
fig4_immune_onset,827.9999999999999,5.0,,16.425120772946848,2,61,692.0,2026800061,0.45,0.45
fig4_immune_onset,1066.0,5.0,,12.570356472795497,2,62,932.0,2026800062,0.45,0.45
fig4_immune_onset,1265.0,5.0,,9.723320158102768,2,63,1142.0,2026800063,0.45,0.45
fig4_immune_onset,1009.0,5.0,,2.3785926660059578,2,64,984.9999999999999,2026800064,0.45,0.45
fig4_immune_onset,1037.0,5.0,,-6.075216972034715,2,65,1100.0,2026800065,0.45,0.45
fig4_immune_onset,1039.0,5.0,,-5.101058710298364,2,66,1092.0,2026800066,0.45,0.45
fig4_immune_onset,1129.0,5.0,,-5.491585473870682,2,67,1191.0,2026800067,0.45,0.45
fig4_immune_onset,860.0,5.0,,0.5813953488372093,2,68,855.0,2026800068,0.45,0.45
fig4_immune_onset,1059.0,5.0,,18.885741265344663,2,69,859.0,2026800069,0.45,0.45
fig4_immune_onset,1462.0,5.0,,22.845417236662108,2,70,1128.0,2026800070,0.45,0.45
fig4_immune_onset,668.0,5.0,,-9.131736526946108,2,71,729.0,2026800071,0.45,0.45
fig4_immune_onset,1398.0,5.0,,29.399141630901287,2,72,987.0,2026800072,0.45,0.45
fig4_immune_onset,1229.0,5.0,,9.764035801464605,2,73,1109.0,2026800073,0.45,0.45
fig4_immune_onset,822.0,5.0,,8.51581508515815,2,74,752.0,2026800074,0.45,0.45
fig4_immune_onset,1350.0,5.0,,10.074074074074074,2,75,1214.0,2026800075,0.45,0.45
fig4_immune_onset,936.0,5.0,,6.6239316239316235,2,76,874.0,2026800076,0.45,0.45
fig4_immune_onset,1338.0,5.0,,9.417040358744394,2,77,1212.0,2026800077,0.45,0.45
fig4_immune_onset,1355.0,5.0,,23.616236162361623,2,78,1035.0,2026800078,0.45,0.45
fig4_immune_onset,941.0,5.0,,-2.97555791710947,2,79,969.0000000000001,2026800079,0.45,0.45
fig4_immune_onset,1055.0,5.0,,19.24170616113744,2,80,852.0,2026800080,0.45,0.45
fig4_immune_onset,1144.0,5.0,,13.548951048951048,2,81,989.0,2026800081,0.45,0.45
fig4_immune_onset,1735.0,5.0,,15.90778097982709,2,82,1459.0,2026800082,0.45,0.45
fig4_immune_onset,1381.0,5.0,,-0.6517016654598118,2,83,1390.0,2026800083,0.45,0.45
fig4_immune_onset,996.0,5.0,,6.42570281124498,2,84,932.0,2026800084,0.45,0.45
fig4_immune_onset,989.0,5.0,,-17.087967644084934,2,85,1158.0,2026800085,0.45,0.45
fig4_immune_onset,1103.0,5.0,,6.165004533091569,2,86,1035.0,2026800086,0.45,0.45
fig4_immune_onset,1543.0,5.0,,11.341542449773168,2,87,1368.0,2026800087,0.45,0.45
fig4_immune_onset,1388.0,5.0,,16.354466858789625,2,88,1161.0,2026800088,0.45,0.45
fig4_immune_onset,1021.0,5.0,,13.907933398628806,2,89,878.9999999999999,2026800089,0.45,0.45
fig4_immune_onset,976.9999999999999,5.0,,11.873080859774811,2,90,861.0,2026800090,0.45,0.45
fig4_immune_onset,1263.0,5.0,,19.79414093428345,2,91,1013.0,2026800091,0.45,0.45
fig4_immune_onset,1217.0,5.0,,6.0805258833196385,2,92,1143.0,2026800092,0.45,0.45
fig4_immune_onset,1308.0,5.0,,6.039755351681957,2,93,1229.0,2026800093,0.45,0.45
fig4_immune_onset,1177.0,5.0,,14.613423959218352,2,94,1005.0,2026800094,0.45,0.45
fig4_immune_onset,1463.0,5.0,,20.095693779904305,2,95,1169.0,2026800095,0.45,0.45
fig4_immune_onset,961.0,5.0,,14.360041623309053,2,96,823.0,2026800096,0.45,0.45
fig4_immune_onset,899.0,5.0,,4.4493882091212456,2,97,859.0,2026800097,0.45,0.45
fig4_immune_onset,1189.0,5.0,,15.643397813288468,2,98,1003.0000000000001,2026800098,0.45,0.45
fig4_immune_onset,1315.0,5.0,,16.806083650190114,2,99,1094.0,2026800099,0.45,0.45
fig4_immune_onset,685.0,10.0,,22.62773722627737,2,0,530.0,2026800000,0.45,0.45
fig4_immune_onset,1352.0,10.0,,-7.322485207100592,2,1,1451.0,2026800001,0.45,0.45
fig4_immune_onset,844.0,10.0,,-1.0663507109004604,2,2,852.9999999999999,2026800002,0.45,0.45
fig4_immune_onset,976.9999999999999,10.0,,3.8894575230296597,2,3,939.0000000000001,2026800003,0.45,0.45
fig4_immune_onset,694.0,10.0,,4.46685878962536,2,4,663.0,2026800004,0.45,0.45
fig4_immune_onset,1295.0,10.0,,10.115830115830116,2,5,1164.0,2026800005,0.45,0.45
fig4_immune_onset,1285.0,10.0,,1.4007782101167314,2,6,1267.0,2026800006,0.45,0.45
fig4_immune_onset,890.0,10.0,,4.831460674157303,2,7,847.0,2026800007,0.45,0.45
fig4_immune_onset,1346.0,10.0,,14.115898959881129,2,8,1156.0,2026800008,0.45,0.45
fig4_immune_onset,1008.0,10.0,,-2.9761904761904763,2,9,1038.0,2026800009,0.45,0.45
fig4_immune_onset,1192.0,10.0,,2.5167785234899327,2,10,1162.0,2026800010,0.45,0.45
fig4_immune_onset,925.9999999999999,10.0,,-6.803455723542129,2,11,989.0,2026800011,0.45,0.45
fig4_immune_onset,1330.0,10.0,,7.067669172932331,2,12,1236.0,2026800012,0.45,0.45
fig4_immune_onset,810.0,10.0,,10.123456790123457,2,13,728.0,2026800013,0.45,0.45
fig4_immune_onset,793.9999999999999,10.0,,6.423173803526436,2,14,743.0,2026800014,0.45,0.45
fig4_immune_onset,847.0,10.0,,19.48051948051948,2,15,682.0,2026800015,0.45,0.45
fig4_immune_onset,1040.0,10.0,,-1.25,2,16,1053.0,2026800016,0.45,0.45
fig4_immune_onset,1368.0,10.0,,13.88888888888889,2,17,1178.0,2026800017,0.45,0.45
fig4_immune_onset,899.9999999999999,10.0,,2.6666666666666545,2,18,876.0,2026800018,0.45,0.45
fig4_immune_onset,911.0,10.0,,5.92755214050494,2,19,857.0,2026800019,0.45,0.45
fig4_immune_onset,1034.0,10.0,,-7.059961315280464,2,20,1107.0,2026800020,0.45,0.45
fig4_immune_onset,1308.0,10.0,,10.321100917431192,2,21,1173.0,2026800021,0.45,0.45
fig4_immune_onset,1162.0,10.0,,8.347676419965577,2,22,1065.0,2026800022,0.45,0.45
fig4_immune_onset,993.0,10.0,,-2.1148036253776437,2,23,1014.0,2026800023,0.45,0.45
fig4_immune_onset,1101.0,10.0,,15.077202543142588,2,24,935.0000000000001,2026800024,0.45,0.45
fig4_immune_onset,975.0,10.0,,-21.743589743589745,2,25,1187.0,2026800025,0.45,0.45
fig4_immune_onset,875.0000000000001,10.0,,1.3714285714285843,2,26,863.0,2026800026,0.45,0.45
fig4_immune_onset,1239.0,10.0,,0.48426150121065376,2,27,1233.0,2026800027,0.45,0.45
fig4_immune_onset,948.0000000000001,10.0,,11.814345991561202,2,28,835.9999999999999,2026800028,0.45,0.45
fig4_immune_onset,1283.0,10.0,,21.20031176929073,2,29,1010.9999999999999,2026800029,0.45,0.45
fig4_immune_onset,1057.0,10.0,,20.813623462630076,2,30,837.0000000000001,2026800030,0.45,0.45
fig4_immune_onset,894.0,10.0,,0.8948545861297539,2,31,886.0,2026800031,0.45,0.45
fig4_immune_onset,1355.0,10.0,,14.095940959409594,2,32,1164.0,2026800032,0.45,0.45
fig4_immune_onset,1541.0,10.0,,15.63919532770928,2,33,1300.0,2026800033,0.45,0.45
fig4_immune_onset,1281.0,10.0,,-1.405152224824356,2,34,1299.0,2026800034,0.45,0.45
fig4_immune_onset,949.0,10.0,,-22.339304531085354,2,35,1161.0,2026800035,0.45,0.45
fig4_immune_onset,1084.0,10.0,,-0.6457564575645757,2,36,1091.0,2026800036,0.45,0.45
fig4_immune_onset,1344.0,10.0,,14.136904761904763,2,37,1154.0,2026800037,0.45,0.45
fig4_immune_onset,1279.0,10.0,,9.538702111024238,2,38,1157.0,2026800038,0.45,0.45
fig4_immune_onset,1328.0,10.0,,4.066265060240964,2,39,1274.0,2026800039,0.45,0.45
fig4_immune_onset,990.0000000000001,10.0,,-6.565656565656554,2,40,1055.0,2026800040,0.45,0.45
fig4_immune_onset,1001.0,10.0,,0.5994005994005994,2,41,995.0,2026800041,0.45,0.45
fig4_immune_onset,1095.0,10.0,,16.438356164383563,2,42,915.0,2026800042,0.45,0.45
fig4_immune_onset,865.0,10.0,,3.3526011560693774,2,43,835.9999999999999,2026800043,0.45,0.45
fig4_immune_onset,1271.0,10.0,,0.6294256490952006,2,44,1263.0,2026800044,0.45,0.45
fig4_immune_onset,831.0,10.0,,-0.4813477737665463,2,45,835.0,2026800045,0.45,0.45
fig4_immune_onset,1509.0,10.0,,8.34990059642147,2,46,1383.0,2026800046,0.45,0.45
fig4_immune_onset,1279.0,10.0,,-5.003909304143862,2,47,1343.0,2026800047,0.45,0.45
fig4_immune_onset,801.9999999999999,10.0,,1.4962593516209195,2,48,790.0000000000001,2026800048,0.45,0.45
fig4_immune_onset,1107.0,10.0,,2.710027100271003,2,49,1077.0,2026800049,0.45,0.45
fig4_immune_onset,872.0,10.0,,5.50458715596329,2,50,824.0000000000001,2026800050,0.45,0.45
fig4_immune_onset,916.0,10.0,,-0.8733624454148472,2,51,924.0,2026800051,0.45,0.45
fig4_immune_onset,919.0,10.0,,5.658324265505973,2,52,867.0000000000001,2026800052,0.45,0.45
fig4_immune_onset,1162.0,10.0,,12.220309810671248,2,53,1020.0000000000001,2026800053,0.45,0.45
fig4_immune_onset,1291.0,10.0,,13.865220759101472,2,54,1112.0,2026800054,0.45,0.45
fig4_immune_onset,1268.0,10.0,,7.176656151419558,2,55,1177.0,2026800055,0.45,0.45
fig4_immune_onset,1026.0,10.0,,10.13645224171539,2,56,922.0000000000001,2026800056,0.45,0.45
fig4_immune_onset,608.0,10.0,,10.69078947368421,2,57,543.0,2026800057,0.45,0.45
fig4_immune_onset,1427.0,10.0,,-4.414856341976174,2,58,1490.0,2026800058,0.45,0.45
fig4_immune_onset,1413.0,10.0,,10.332625619249823,2,59,1267.0,2026800059,0.45,0.45
fig4_immune_onset,881.0,10.0,,4.313280363223609,2,60,843.0,2026800060,0.45,0.45
fig4_immune_onset,827.9999999999999,10.0,,-1.4492753623188546,2,61,840.0,2026800061,0.45,0.45
fig4_immune_onset,1066.0,10.0,,2.25140712945591,2,62,1042.0,2026800062,0.45,0.45
fig4_immune_onset,1265.0,10.0,,10.276679841897232,2,63,1135.0,2026800063,0.45,0.45
fig4_immune_onset,1009.0,10.0,,15.460852329038662,2,64,852.9999999999999,2026800064,0.45,0.45
fig4_immune_onset,1037.0,10.0,,6.171648987463827,2,65,973.0000000000001,2026800065,0.45,0.45
fig4_immune_onset,1039.0,10.0,,10.875842155919164,2,66,925.9999999999999,2026800066,0.45,0.45
fig4_immune_onset,1129.0,10.0,,4.605845881310895,2,67,1077.0,2026800067,0.45,0.45
fig4_immune_onset,860.0,10.0,,8.604651162790685,2,68,786.0000000000001,2026800068,0.45,0.45
fig4_immune_onset,1059.0,10.0,,-2.360717658168083,2,69,1084.0,2026800069,0.45,0.45
fig4_immune_onset,1462.0,10.0,,6.292749658002736,2,70,1370.0,2026800070,0.45,0.45
fig4_immune_onset,668.0,10.0,,-4.640718562874252,2,71,699.0,2026800071,0.45,0.45
fig4_immune_onset,1398.0,10.0,,2.503576537911302,2,72,1363.0,2026800072,0.45,0.45
fig4_immune_onset,1229.0,10.0,,8.0553295362083,2,73,1130.0,2026800073,0.45,0.45
fig4_immune_onset,822.0,10.0,,0.9732360097323601,2,74,814.0,2026800074,0.45,0.45
fig4_immune_onset,1350.0,10.0,,14.814814814814815,2,75,1150.0,2026800075,0.45,0.45
fig4_immune_onset,936.0,10.0,,19.978632478632477,2,76,749.0,2026800076,0.45,0.45
fig4_immune_onset,1338.0,10.0,,9.715994020926756,2,77,1208.0,2026800077,0.45,0.45
fig4_immune_onset,1355.0,10.0,,15.940959409594097,2,78,1139.0,2026800078,0.45,0.45
fig4_immune_onset,941.0,10.0,,10.520722635494154,2,79,842.0,2026800079,0.45,0.45
fig4_immune_onset,1055.0,10.0,,17.630331753554504,2,80,869.0,2026800080,0.45,0.45
fig4_immune_onset,1144.0,10.0,,23.164335664335674,2,81,878.9999999999999,2026800081,0.45,0.45
fig4_immune_onset,1735.0,10.0,,13.371757925072046,2,82,1503.0,2026800082,0.45,0.45
fig4_immune_onset,1381.0,10.0,,4.344677769732078,2,83,1321.0,2026800083,0.45,0.45
fig4_immune_onset,996.0,10.0,,12.048192771084338,2,84,876.0,2026800084,0.45,0.45
fig4_immune_onset,989.0,10.0,,13.043478260869565,2,85,860.0,2026800085,0.45,0.45
fig4_immune_onset,1103.0,10.0,,0.45330915684496825,2,86,1098.0,2026800086,0.45,0.45
fig4_immune_onset,1543.0,10.0,,7.841866493843162,2,87,1422.0,2026800087,0.45,0.45
fig4_immune_onset,1388.0,10.0,,6.916426512968299,2,88,1292.0,2026800088,0.45,0.45
fig4_immune_onset,1021.0,10.0,,1.7629774730656107,2,89,1003.0000000000001,2026800089,0.45,0.45
fig4_immune_onset,976.9999999999999,10.0,,11.873080859774811,2,90,861.0,2026800090,0.45,0.45
fig4_immune_onset,1263.0,10.0,,-8.709422011084719,2,91,1373.0,2026800091,0.45,0.45
fig4_immune_onset,1217.0,10.0,,8.134757600657354,2,92,1118.0,2026800092,0.45,0.45
fig4_immune_onset,1308.0,10.0,,5.275229357798165,2,93,1239.0,2026800093,0.45,0.45
fig4_immune_onset,1177.0,10.0,,19.541206457094315,2,94,946.9999999999999,2026800094,0.45,0.45
fig4_immune_onset,1463.0,10.0,,14.627477785372522,2,95,1249.0,2026800095,0.45,0.45
fig4_immune_onset,961.0,10.0,,9.157127991675338,2,96,873.0,2026800096,0.45,0.45
fig4_immune_onset,899.0,10.0,,-10.789766407119021,2,97,996.0,2026800097,0.45,0.45
fig4_immune_onset,1189.0,10.0,,10.008410428931876,2,98,1070.0,2026800098,0.45,0.45
fig4_immune_onset,1315.0,10.0,,1.673003802281369,2,99,1293.0,2026800099,0.45,0.45
fig4_immune_onset,685.0,14.0,,20.583941605839417,2,0,544.0,2026800000,0.45,0.45
fig4_immune_onset,1352.0,14.0,,2.440828402366864,2,1,1319.0,2026800001,0.45,0.45
fig4_immune_onset,844.0,14.0,,-6.872037914691943,2,2,902.0,2026800002,0.45,0.45
fig4_immune_onset,976.9999999999999,14.0,,-3.17297850562949,2,3,1008.0,2026800003,0.45,0.45
fig4_immune_onset,694.0,14.0,,6.484149855907781,2,4,649.0,2026800004,0.45,0.45
fig4_immune_onset,1295.0,14.0,,6.486486486486487,2,5,1211.0,2026800005,0.45,0.45
fig4_immune_onset,1285.0,14.0,,6.070038910505836,2,6,1207.0,2026800006,0.45,0.45
fig4_immune_onset,890.0,14.0,,-4.494382022471897,2,7,929.9999999999999,2026800007,0.45,0.45
fig4_immune_onset,1346.0,14.0,,5.1263001485884105,2,8,1277.0,2026800008,0.45,0.45
fig4_immune_onset,1008.0,14.0,,4.265873015873005,2,9,965.0000000000001,2026800009,0.45,0.45
fig4_immune_onset,1192.0,14.0,,7.969798657718121,2,10,1097.0,2026800010,0.45,0.45
fig4_immune_onset,925.9999999999999,14.0,,-3.6717062634989204,2,11,959.9999999999999,2026800011,0.45,0.45
fig4_immune_onset,1330.0,14.0,,13.082706766917294,2,12,1156.0,2026800012,0.45,0.45
fig4_immune_onset,810.0,14.0,,2.7160493827160495,2,13,788.0,2026800013,0.45,0.45
fig4_immune_onset,793.9999999999999,14.0,,-2.518891687657445,2,14,814.0,2026800014,0.45,0.45
fig4_immune_onset,847.0,14.0,,7.674144037780401,2,15,782.0,2026800015,0.45,0.45
fig4_immune_onset,1040.0,14.0,,-9.326923076923077,2,16,1137.0,2026800016,0.45,0.45
fig4_immune_onset,1368.0,14.0,,5.043859649122807,2,17,1299.0,2026800017,0.45,0.45
fig4_immune_onset,899.9999999999999,14.0,,5.3333333333333215,2,18,852.0,2026800018,0.45,0.45
fig4_immune_onset,911.0,14.0,,5.817782656421503,2,19,858.0000000000001,2026800019,0.45,0.45
fig4_immune_onset,1034.0,14.0,,-6.576402321083172,2,20,1102.0,2026800020,0.45,0.45
fig4_immune_onset,1308.0,14.0,,5.045871559633028,2,21,1242.0,2026800021,0.45,0.45
fig4_immune_onset,1162.0,14.0,,4.561101549053356,2,22,1109.0,2026800022,0.45,0.45
fig4_immune_onset,993.0,14.0,,-3.826787512588117,2,23,1031.0,2026800023,0.45,0.45
fig4_immune_onset,1101.0,14.0,,19.891008174386922,2,24,882.0,2026800024,0.45,0.45
fig4_immune_onset,975.0,14.0,,9.333333333333321,2,25,884.0000000000001,2026800025,0.45,0.45
fig4_immune_onset,875.0000000000001,14.0,,-0.9142857142856882,2,26,882.9999999999999,2026800026,0.45,0.45
fig4_immune_onset,1239.0,14.0,,10.815173527037933,2,27,1105.0,2026800027,0.45,0.45
fig4_immune_onset,948.0000000000001,14.0,,1.6877637130801806,2,28,932.0,2026800028,0.45,0.45
fig4_immune_onset,1283.0,14.0,,14.65315666406859,2,29,1095.0,2026800029,0.45,0.45
fig4_immune_onset,1057.0,14.0,,22.80037842951749,2,30,816.0000000000001,2026800030,0.45,0.45
fig4_immune_onset,894.0,14.0,,-5.704697986577181,2,31,945.0,2026800031,0.45,0.45
fig4_immune_onset,1355.0,14.0,,5.977859778597786,2,32,1274.0,2026800032,0.45,0.45
fig4_immune_onset,1541.0,14.0,,12.070084360804673,2,33,1355.0,2026800033,0.45,0.45
fig4_immune_onset,1281.0,14.0,,11.865729898516785,2,34,1129.0,2026800034,0.45,0.45
fig4_immune_onset,949.0,14.0,,-19.599578503688093,2,35,1135.0,2026800035,0.45,0.45
fig4_immune_onset,1084.0,14.0,,0.0,2,36,1084.0,2026800036,0.45,0.45
fig4_immune_onset,1344.0,14.0,,-1.4136904761904763,2,37,1363.0,2026800037,0.45,0.45
fig4_immune_onset,1279.0,14.0,,6.724003127443315,2,38,1193.0,2026800038,0.45,0.45
fig4_immune_onset,1328.0,14.0,,18.22289156626506,2,39,1086.0,2026800039,0.45,0.45
