analysis,base_deaths,coverage,det,max_vaccines,mortality_reduction_pct,replicate,scenario_deaths,seed,trace,ve
fig3_community_ve,780.0,0.0,0.3,0,0.0,0,780.0,2026421000,0.3,0.0
fig3_community_ve,664.0,0.0,0.3,0,0.0,1,664.0,2026421001,0.3,0.0
fig3_community_ve,1070.0,0.0,0.3,0,0.0,2,1070.0,2026421002,0.3,0.0
fig3_community_ve,980.9999999999999,0.0,0.3,0,0.0,3,980.9999999999999,2026421003,0.3,0.0
fig3_community_ve,813.0,0.0,0.3,0,0.0,4,813.0,2026421004,0.3,0.0
fig3_community_ve,641.0,0.0,0.3,0,0.0,5,641.0,2026421005,0.3,0.0
fig3_community_ve,844.9999999999999,0.0,0.3,0,0.0,6,844.9999999999999,2026421006,0.3,0.0
fig3_community_ve,1180.0,0.0,0.3,0,0.0,7,1180.0,2026421007,0.3,0.0
fig3_community_ve,855.0,0.0,0.3,0,0.0,8,855.0,2026421008,0.3,0.0
fig3_community_ve,747.0,0.0,0.3,0,0.0,9,747.0,2026421009,0.3,0.0
fig3_community_ve,855.0,0.0,0.3,0,0.0,10,855.0,2026421010,0.3,0.0
fig3_community_ve,679.0,0.0,0.3,0,0.0,11,679.0,2026421011,0.3,0.0
fig3_community_ve,1199.0,0.0,0.3,0,0.0,12,1199.0,2026421012,0.3,0.0
fig3_community_ve,962.0,0.0,0.3,0,0.0,13,962.0,2026421013,0.3,0.0
fig3_community_ve,807.0000000000001,0.0,0.3,0,0.0,14,807.0000000000001,2026421014,0.3,0.0
fig3_community_ve,899.9999999999999,0.0,0.3,0,0.0,15,899.9999999999999,2026421015,0.3,0.0
fig3_community_ve,1309.0,0.0,0.3,0,0.0,16,1309.0,2026421016,0.3,0.0
fig3_community_ve,983.0,0.0,0.3,0,0.0,17,983.0,2026421017,0.3,0.0
fig3_community_ve,953.0,0.0,0.3,0,0.0,18,953.0,2026421018,0.3,0.0
fig3_community_ve,982.0000000000001,0.0,0.3,0,0.0,19,982.0000000000001,2026421019,0.3,0.0
fig3_community_ve,932.0,0.0,0.3,0,0.0,20,932.0,2026421020,0.3,0.0
fig3_community_ve,1224.0,0.0,0.3,0,0.0,21,1224.0,2026421021,0.3,0.0
fig3_community_ve,905.0000000000001,0.0,0.3,0,0.0,22,905.0000000000001,2026421022,0.3,0.0
fig3_community_ve,922.0000000000001,0.0,0.3,0,0.0,23,922.0000000000001,2026421023,0.3,0.0
fig3_community_ve,929.9999999999999,0.0,0.3,0,0.0,24,929.9999999999999,2026421024,0.3,0.0
