analysis,base_deaths,coverage,det,max_vaccines,mortality_reduction_pct,replicate,risk,scenario_deaths,seed,trace,ve
fig3_risk_compensation,1109.0,0.4,0.3,0,0.0,0,1.0,1109.0,2026584000,0.3,0.0
fig3_risk_compensation,680.0,0.4,0.3,0,0.0,1,1.0,680.0,2026584001,0.3,0.0
fig3_risk_compensation,739.0,0.4,0.3,0,0.0,2,1.0,739.0,2026584002,0.3,0.0
fig3_risk_compensation,674.0,0.4,0.3,0,0.0,3,1.0,674.0,2026584003,0.3,0.0
fig3_risk_compensation,932.0,0.4,0.3,0,0.0,4,1.0,932.0,2026584004,0.3,0.0
fig3_risk_compensation,976.0,0.4,0.3,0,0.0,5,1.0,976.0,2026584005,0.3,0.0
fig3_risk_compensation,838.0,0.4,0.3,0,0.0,6,1.0,838.0,2026584006,0.3,0.0
fig3_risk_compensation,664.0,0.4,0.3,0,0.0,7,1.0,664.0,2026584007,0.3,0.0
fig3_risk_compensation,769.0,0.4,0.3,0,0.0,8,1.0,769.0,2026584008,0.3,0.0
fig3_risk_compensation,1017.0,0.4,0.3,0,0.0,9,1.0,1017.0,2026584009,0.3,0.0
fig3_risk_compensation,949.0,0.4,0.3,0,0.0,10,1.0,949.0,2026584010,0.3,0.0
fig3_risk_compensation,922.0000000000001,0.4,0.3,0,0.0,11,1.0,922.0000000000001,2026584011,0.3,0.0
fig3_risk_compensation,861.9999999999999,0.4,0.3,0,0.0,12,1.0,861.9999999999999,2026584012,0.3,0.0
fig3_risk_compensation,1270.0,0.4,0.3,0,0.0,13,1.0,1270.0,2026584013,0.3,0.0
fig3_risk_compensation,620.0,0.4,0.3,0,0.0,14,1.0,620.0,2026584014,0.3,0.0
fig3_risk_compensation,780.0,0.4,0.3,0,0.0,15,1.0,780.0,2026584015,0.3,0.0
fig3_risk_compensation,882.0,0.4,0.3,0,0.0,16,1.0,882.0,2026584016,0.3,0.0
fig3_risk_compensation,1238.0,0.4,0.3,0,0.0,17,1.0,1238.0,2026584017,0.3,0.0
fig3_risk_compensation,856.0,0.4,0.3,0,0.0,18,1.0,856.0,2026584018,0.3,0.0
fig3_risk_compensation,783.0,0.4,0.3,0,0.0,19,1.0,783.0,2026584019,0.3,0.0
fig3_risk_compensation,863.0,0.4,0.3,0,0.0,20,1.0,863.0,2026584020,0.3,0.0
fig3_risk_compensation,875.0000000000001,0.4,0.3,0,0.0,21,1.0,875.0000000000001,2026584021,0.3,0.0
fig3_risk_compensation,718.0,0.4,0.3,0,0.0,22,1.0,718.0,2026584022,0.3,0.0
fig3_risk_compensation,1067.0,0.4,0.3,0,0.0,23,1.0,1067.0,2026584023,0.3,0.0
fig3_risk_compensation,824.0000000000001,0.4,0.3,0,0.0,24,1.0,824.0000000000001,2026584024,0.3,0.0
fig3_risk_compensation,753.0,0.4,0.3,0,0.0,25,1.0,753.0,2026584025,0.3,0.0
fig3_risk_compensation,601.0,0.4,0.3,0,0.0,26,1.0,601.0,2026584026,0.3,0.0
fig3_risk_compensation,653.0,0.4,0.3,0,0.0,27,1.0,653.0,2026584027,0.3,0.0
fig3_risk_compensation,747.0,0.4,0.3,0,0.0,28,1.0,747.0,2026584028,0.3,0.0
fig3_risk_compensation,1039.0,0.4,0.3,0,0.0,29,1.0,1039.0,2026584029,0.3,0.0
fig3_risk_compensation,657.0,0.4,0.3,0,0.0,30,1.0,657.0,2026584030,0.3,0.0
fig3_risk_compensation,627.0,0.4,0.3,0,0.0,31,1.0,627.0,2026584031,0.3,0.0
fig3_risk_compensation,867.0000000000001,0.4,0.3,0,0.0,32,1.0,867.0000000000001,2026584032,0.3,0.0
fig3_risk_compensation,983.0,0.4,0.3,0,0.0,33,1.0,983.0,2026584033,0.3,0.0
fig3_risk_compensation,868.0,0.4,0.3,0,0.0,34,1.0,868.0,2026584034,0.3,0.0
fig3_risk_compensation,1033.0,0.4,0.3,0,0.0,35,1.0,1033.0,2026584035,0.3,0.0
fig3_risk_compensation,736.0,0.4,0.3,0,0.0,36,1.0,736.0,2026584036,0.3,0.0
fig3_risk_compensation,762.0,0.4,0.3,0,0.0,37,1.0,762.0,2026584037,0.3,0.0
fig3_risk_compensation,842.0,0.4,0.3,0,0.0,38,1.0,842.0,2026584038,0.3,0.0
fig3_risk_compensation,655.0,0.4,0.3,0,0.0,39,1.0,655.0,2026584039,0.3,0.0
fig3_risk_compensation,875.0000000000001,0.4,0.3,0,0.0,40,1.0,875.0000000000001,2026584040,0.3,0.0
fig3_risk_compensation,632.0,0.4,0.3,0,0.0,41,1.0,632.0,2026584041,0.3,0.0
