cell,ve_i,ve_m,n_replicates,median_cases,median_deaths,median_doses,median_mortality_reduction_pct
vei_0.000_vem_0.000,0.000,0.000,100,1805.0,813.5,40000.0,0.0
vei_0.000_vem_0.075,0.000,0.075,100,1805.0,788.5,40000.0,2.824951380684463
vei_0.000_vem_0.150,0.000,0.150,100,1805.0,768.0,40000.0,5.63224750443783
vei_0.000_vem_0.225,0.000,0.225,100,1805.0,743.5,40000.0,8.35073473293533
vei_0.000_vem_0.300,0.000,0.300,100,1805.0,714.5,40000.0,11.141791880269109
vei_0.000_vem_0.375,0.000,0.375,100,1805.0,696.0,40000.0,14.104183070622433
vei_0.000_vem_0.450,0.000,0.450,100,1805.0,677.0,40000.0,16.874651201592535
vei_0.000_vem_0.525,0.000,0.525,100,1805.0,654.5,40000.0,19.525265939608566
vei_0.000_vem_0.600,0.000,0.600,100,1805.0,636.5,40000.0,22.08747846384705
vei_0.000_vem_0.675,0.000,0.675,100,1805.0,614.0,40000.0,24.862745098039216
vei_0.000_vem_0.750,0.000,0.750,100,1805.0,590.0,40000.0,27.527825318418266
vei_0.000_vem_0.825,0.000,0.825,100,1805.0,563.5,40000.0,30.361722544593214
vei_0.000_vem_0.900,0.000,0.900,100,1805.0,540.0,40000.0,33.336757730151305
vei_0.075_vem_0.000,0.075,0.000,100,1453.0,654.0,40000.0,20.97288591460206
vei_0.075_vem_0.075,0.075,0.075,100,1453.0,640.0,40000.0,22.926120769306827
vei_0.075_vem_0.150,0.075,0.150,100,1453.0,625.5,40000.0,24.81848684848908
vei_0.075_vem_0.225,0.075,0.225,100,1453.0,607.0,40000.0,26.96179130780328
vei_0.075_vem_0.300,0.075,0.300,100,1453.0,589.5,40000.0,29.04806057796322
vei_0.075_vem_0.375,0.075,0.375,100,1453.0,577.0,40000.0,30.55728088336784
vei_0.075_vem_0.450,0.075,0.450,100,1453.0,562.0,40000.0,32.77479766610202
vei_0.075_vem_0.525,0.075,0.525,100,1453.0,544.5,40000.0,34.520685216700215
vei_0.075_vem_0.600,0.075,0.600,100,1453.0,530.0,40000.0,36.74685826330185
vei_0.075_vem_0.675,0.075,0.675,100,1453.0,514.5,40000.0,38.84123858686149
vei_0.075_vem_0.750,0.075,0.750,100,1453.0,496.0,40000.0,40.4079164471013
vei_0.075_vem_0.825,0.075,0.825,100,1453.0,478.5,40000.0,42.43993381386282
vei_0.075_vem_0.900,0.075,0.900,100,1453.0,460.5,40000.0,44.19125980325491
vei_0.150_vem_0.000,0.150,0.000,100,1157.0,531.0,40000.0,33.225182207876315
vei_0.150_vem_0.075,0.150,0.075,100,1157.0,519.0,40000.0,34.87463240984368
vei_0.150_vem_0.150,0.150,0.150,100,1157.0,508.00000000000006,40000.0,36.52753679069468
vei_0.150_vem_0.225,0.150,0.225,100,1157.0,495.0,40000.0,37.84155646637281
vei_0.150_vem_0.300,0.150,0.300,100,1157.0,483.5,40000.0,39.311365706677876
vei_0.150_vem_0.375,0.150,0.375,100,1157.0,470.5,40000.0,40.87638969217917
vei_0.150_vem_0.450,0.150,0.450,100,1157.0,460.5,40000.0,42.21916971916972
vei_0.150_vem_0.525,0.150,0.525,100,1157.0,447.5,40000.0,43.733391042914526
vei_0.150_vem_0.600,0.150,0.600,100,1157.0,435.5,40000.0,44.9575422962676
vei_0.150_vem_0.675,0.150,0.675,100,1157.0,424.5,40000.0,46.40861412791237
vei_0.150_vem_0.750,0.150,0.750,100,1157.0,414.0,40000.0,48.04377236623898
vei_0.150_vem_0.825,0.150,0.825,100,1157.0,400.0,40000.0,49.57290229318615
vei_0.150_vem_0.900,0.150,0.900,100,1157.0,388.5,40000.0,50.99770192253797
vei_0.225_vem_0.000,0.225,0.000,100,1000.5,455.0,40000.0,45.44573436641895
vei_0.225_vem_0.075,0.225,0.075,100,1000.5,447.5,40000.0,46.33931449325982
vei_0.225_vem_0.150,0.225,0.150,100,1000.5,438.5,40000.0,47.298031811420074
vei_0.225_vem_0.225,0.225,0.225,100,1000.5,428.0,40000.0,48.62398521749667
vei_0.225_vem_0.300,0.225,0.300,100,1000.5,421.5,40000.0,49.75955713074033
vei_0.225_vem_0.375,0.225,0.375,100,1000.5,411.0,40000.0,50.62770605285975
vei_0.225_vem_0.450,0.225,0.450,100,1000.5,403.5,40000.0,51.76666155183878
vei_0.225_vem_0.525,0.225,0.525,100,1000.5,396.0,40000.0,52.81758818815747
vei_0.225_vem_0.600,0.225,0.600,100,1000.5,387.0,40000.0,53.98547388880364
vei_0.225_vem_0.675,0.225,0.675,100,1000.5,379.0,40000.0,55.00758699469763
vei_0.225_vem_0.750,0.225,0.750,100,1000.5,371.0,40000.0,55.97294395353303
vei_0.225_vem_0.825,0.225,0.825,100,1000.5,363.5,40000.0,57.07654423271656
vei_0.225_vem_0.900,0.225,0.900,100,1000.5,353.5,40000.0,58.05114614539983
vei_0.300_vem_0.000,0.300,0.000,100,815.0,377.0,40000.0,54.563456850623965
