analysis,base_deaths,coverage,max_vaccines,mortality_reduction_pct,radius,replicate,risk,scenario_deaths,seed,ve_i,ve_m
fig3_risk_compensation,1099.0,0.4,0,81.71064604185624,2,0,1.0,201.0,2026706000,0.9,0.9
fig3_risk_compensation,1237.0,0.4,0,82.29587712206953,2,1,1.0,219.0,2026706001,0.9,0.9
fig3_risk_compensation,885.0,0.4,0,78.30508474576271,2,2,1.0,192.0,2026706002,0.9,0.9
fig3_risk_compensation,1188.0,0.4,0,81.48148148148148,2,3,1.0,220.0,2026706003,0.9,0.9
fig3_risk_compensation,1453.0,0.4,0,84.99655884377151,2,4,1.0,218.0,2026706004,0.9,0.9
fig3_risk_compensation,1063.0,0.4,0,81.37347130761994,2,5,1.0,198.0,2026706005,0.9,0.9
fig3_risk_compensation,1079.0,0.4,0,81.18628359592215,2,6,1.0,203.0,2026706006,0.9,0.9
fig3_risk_compensation,1454.0,0.4,0,84.4566712517194,2,7,1.0,225.99999999999997,2026706007,0.9,0.9
fig3_risk_compensation,1049.0,0.4,0,74.73784556720686,2,8,1.0,265.0,2026706008,0.9,0.9
fig3_risk_compensation,1161.0,0.4,0,81.99827734711455,2,9,1.0,208.99999999999997,2026706009,0.9,0.9
fig3_risk_compensation,892.0000000000001,0.4,0,76.45739910313902,2,10,1.0,210.0,2026706010,0.9,0.9
fig3_risk_compensation,784.0,0.4,0,76.65816326530613,2,11,1.0,183.0,2026706011,0.9,0.9
fig3_risk_compensation,1083.0,0.4,0,78.48568790397046,2,12,1.0,233.0,2026706012,0.9,0.9
fig3_risk_compensation,1193.0,0.4,0,79.12824811399832,2,13,1.0,249.0,2026706013,0.9,0.9
fig3_risk_compensation,1199.0,0.4,0,78.98248540450375,2,14,1.0,252.0,2026706014,0.9,0.9
fig3_risk_compensation,1020.0000000000001,0.4,0,73.62745098039217,2,15,1.0,269.0,2026706015,0.9,0.9
fig3_risk_compensation,876.0,0.4,0,83.56164383561644,2,16,1.0,144.0,2026706016,0.9,0.9
