strategy,replicate_id,simulation_seed,extinct_before_day90,extinction_time,total_deaths,total_infected,total_vaccines
no_vax_base_ops,2,2026073002,0,nan,767,1679,0
no_vax_enh_ops,2,2026073002,0,nan,174,385,0
comm_base_40,2,2026073002,0,nan,223,523,40000
comm_base_60,2,2026073002,0,nan,110,292,60000
no_vax_base_ops,4,2026073004,0,nan,1100,2396,0
no_vax_enh_ops,4,2026073004,0,nan,127,304,0
comm_base_40,4,2026073004,0,nan,401,964,40000
comm_base_60,4,2026073004,0,nan,211,561,60000
no_vax_base_ops,1,2026073001,0,nan,856,1930,0
no_vax_enh_ops,1,2026073001,1,82.41109894075795,146,340,0
comm_base_40,1,2026073001,0,nan,185,477,40000
comm_base_60,1,2026073001,0,nan,135,356,60000
no_vax_base_ops,0,2026073000,0,nan,1158,2534,0
no_vax_enh_ops,0,2026073000,0,nan,184,390,0
comm_base_40,0,2026073000,0,nan,487,1129,40000
comm_base_60,0,2026073000,0,nan,299,716,60000
no_vax_base_ops,3,2026073003,0,nan,1336,2924,0
no_vax_enh_ops,3,2026073003,0,nan,181,416,0
comm_base_40,3,2026073003,0,nan,433,1020,40000
comm_base_60,3,2026073003,0,nan,216,548,60000
no_vax_base_ops,6,2026073006,0,nan,1103,2570,0
no_vax_enh_ops,6,2026073006,0,nan,157,368,0
comm_base_40,6,2026073006,0,nan,269,746,40000
comm_base_60,6,2026073006,0,nan,202,575,60000
no_vax_base_ops,7,2026073007,0,nan,982,2077,0
no_vax_enh_ops,7,2026073007,0,nan,137,308,0
comm_base_40,7,2026073007,0,nan,380,926,40000
comm_base_60,7,2026073007,0,nan,192,497,60000
no_vax_base_ops,5,2026073005,0,nan,1532,3342,0
no_vax_enh_ops,5,2026073005,0,nan,256,516,0
comm_base_40,5,2026073005,0,nan,482,1081,40000
comm_base_60,5,2026073005,0,nan,277,650,60000
no_vax_base_ops,11,2026073011,0,nan,961,2163,0
no_vax_enh_ops,11,2026073011,0,nan,136,310,0
comm_base_40,11,2026073011,0,nan,320,746,40000
comm_base_60,11,2026073011,0,nan,168,447,60000
no_vax_base_ops,10,2026073010,0,nan,818,1779,0
no_vax_enh_ops,10,2026073010,0,nan,189,417,0
comm_base_40,10,2026073010,0,nan,291,657,40000
comm_base_60,10,2026073010,0,nan,178,440,60000
no_vax_base_ops,9,2026073009,0,nan,922,2052,0
no_vax_enh_ops,9,2026073009,0,nan,151,344,0
comm_base_40,9,2026073009,0,nan,299,691,40000
comm_base_60,9,2026073009,0,nan,168,426,60000
no_vax_base_ops,8,2026073008,0,nan,1343,2882,0
no_vax_enh_ops,8,2026073008,0,nan,278,582,0
comm_base_40,8,2026073008,0,nan,462,1037,40000
comm_base_60,8,2026073008,0,nan,318,748,60000
no_vax_base_ops,12,2026073012,0,nan,1100,2435,0
no_vax_enh_ops,12,2026073012,0,nan,185,459,0
comm_base_40,12,2026073012,0,nan,338,835,40000
comm_base_60,12,2026073012,0,nan,225,615,60000
no_vax_base_ops,13,2026073013,0,nan,1221,2661,0
no_vax_enh_ops,13,2026073013,0,nan,151,328,0
comm_base_40,13,2026073013,0,nan,333,780,40000
comm_base_60,13,2026073013,0,nan,264,636,60000
no_vax_base_ops,14,2026073014,0,nan,1066,2291,0
no_vax_enh_ops,14,2026073014,0,nan,187,394,0
comm_base_40,14,2026073014,0,nan,371,845,40000
comm_base_60,14,2026073014,0,nan,234,577,60000
no_vax_base_ops,15,2026073015,0,nan,873,1864,0
no_vax_enh_ops,15,2026073015,0,nan,163,341,0
comm_base_40,15,2026073015,0,nan,314,682,40000
comm_base_60,15,2026073015,0,nan,151,353,60000
no_vax_base_ops,16,2026073016,0,nan,1058,2281,0
no_vax_enh_ops,16,2026073016,0,nan,194,437,0
comm_base_40,16,2026073016,0,nan,436,1043,40000
comm_base_60,16,2026073016,0,nan,201,493,60000
no_vax_base_ops,17,2026073017,0,nan,1032,2269,0
no_vax_enh_ops,17,2026073017,0,nan,222,470,0
comm_base_40,17,2026073017,0,nan,402,949,40000
comm_base_60,17,2026073017,0,nan,182,423,60000
no_vax_base_ops,19,2026073019,0,nan,1222,2686,0
no_vax_enh_ops,19,2026073019,0,nan,209,469,0
comm_base_40,19,2026073019,0,nan,332,818,40000
comm_base_60,19,2026073019,0,nan,224,563,60000
no_vax_base_ops,22,2026073022,0,nan,829,1840,0
no_vax_enh_ops,22,2026073022,0,nan,151,317,0
comm_base_40,22,2026073022,0,nan,283,694,40000
comm_base_60,22,2026073022,0,nan,157,385,60000
no_vax_base_ops,20,2026073020,0,nan,1003,2199,0
no_vax_enh_ops,20,2026073020,0,nan,193,422,0
comm_base_40,20,2026073020,0,nan,377,923,40000
comm_base_60,20,2026073020,0,nan,176,437,60000
no_vax_base_ops,18,2026073018,0,nan,1092,2324,0
no_vax_enh_ops,18,2026073018,1,79.72881744870222,154,297,0
comm_base_40,18,2026073018,0,nan,300,662,40000
comm_base_60,18,2026073018,0,nan,226,509,60000
no_vax_base_ops,21,2026073021,0,nan,1068,2366,0
no_vax_enh_ops,21,2026073021,0,nan,202,439,0
comm_base_40,21,2026073021,0,nan,348,813,40000
comm_base_60,21,2026073021,0,nan,221,553,60000
no_vax_base_ops,23,2026073023,0,nan,856,1868,0
no_vax_enh_ops,23,2026073023,0,nan,161,353,0
comm_base_40,23,2026073023,0,nan,259,628,40000
comm_base_60,23,2026073023,0,nan,159,404,60000
no_vax_base_ops,24,2026073024,0,nan,1185,2590,0
no_vax_enh_ops,24,2026073024,0,nan,206,457,0
comm_base_40,24,2026073024,0,nan,357,798,40000
comm_base_60,24,2026073024,0,nan,337,755,60000
no_vax_base_ops,27,2026073027,0,nan,881,1960,0
no_vax_enh_ops,27,2026073027,0,nan,149,345,0
comm_base_40,27,2026073027,0,nan,362,867,40000
comm_base_60,27,2026073027,0,nan,234,620,60000
no_vax_base_ops,26,2026073026,0,nan,1404,2987,0
no_vax_enh_ops,26,2026073026,0,nan,203,421,0
comm_base_40,26,2026073026,0,nan,401,867,40000
comm_base_60,26,2026073026,0,nan,234,555,60000
no_vax_base_ops,28,2026073028,0,nan,1346,2963,0
no_vax_enh_ops,28,2026073028,0,nan,158,330,0
comm_base_40,28,2026073028,0,nan,367,859,40000
comm_base_60,28,2026073028,0,nan,280,689,60000
no_vax_base_ops,25,2026073025,0,nan,1147,2509,0
no_vax_enh_ops,25,2026073025,0,nan,173,366,0
comm_base_40,25,2026073025,0,nan,271,673,40000
comm_base_60,25,2026073025,0,nan,219,556,60000
no_vax_base_ops,31,2026073031,0,nan,1168,2587,0
no_vax_enh_ops,31,2026073031,0,nan,158,346,0
comm_base_40,31,2026073031,0,nan,355,855,40000
comm_base_60,31,2026073031,0,nan,203,498,60000
no_vax_base_ops,29,2026073029,0,nan,1303,3019,0
no_vax_enh_ops,29,2026073029,0,nan,196,429,0
comm_base_40,29,2026073029,0,nan,422,1056,40000
comm_base_60,29,2026073029,0,nan,253,648,60000
no_vax_base_ops,30,2026073030,0,nan,1339,2967,0
no_vax_enh_ops,30,2026073030,0,nan,183,389,0
comm_base_40,30,2026073030,0,nan,341,820,40000
comm_base_60,30,2026073030,0,nan,223,518,60000
no_vax_base_ops,34,2026073034,0,nan,981,2102,0
no_vax_enh_ops,34,2026073034,0,nan,158,315,0
comm_base_40,34,2026073034,0,nan,345,786,40000
comm_base_60,34,2026073034,0,nan,212,462,60000
no_vax_base_ops,32,2026073032,0,nan,1118,2424,0
no_vax_enh_ops,32,2026073032,0,nan,142,295,0
comm_base_40,32,2026073032,0,nan,281,666,40000
comm_base_60,32,2026073032,0,nan,236,585,60000
no_vax_base_ops,33,2026073033,0,nan,1088,2399,0
no_vax_enh_ops,33,2026073033,1,86.02174804445053,128,255,0
comm_base_40,33,2026073033,0,nan,382,900,40000
comm_base_60,33,2026073033,0,nan,215,511,60000
no_vax_base_ops,35,2026073035,0,nan,1135,2450,0
no_vax_enh_ops,35,2026073035,0,nan,144,307,0
comm_base_40,35,2026073035,0,nan,303,757,40000
comm_base_60,35,2026073035,0,nan,191,473,60000
no_vax_base_ops,36,2026073036,0,nan,1189,2619,0
no_vax_enh_ops,36,2026073036,0,nan,167,409,0
comm_base_40,36,2026073036,0,nan,357,882,40000
comm_base_60,36,2026073036,0,nan,243,622,60000
no_vax_base_ops,37,2026073037,0,nan,777,1719,0
no_vax_enh_ops,37,2026073037,0,nan,215,445,0
comm_base_40,37,2026073037,0,nan,333,773,40000
comm_base_60,37,2026073037,0,nan,208,490,60000
no_vax_base_ops,38,2026073038,0,nan,1183,2550,0
no_vax_enh_ops,38,2026073038,1,89.69599260175234,131,311,0
comm_base_40,38,2026073038,0,nan,358,882,40000
comm_base_60,38,2026073038,0,nan,181,493,60000
no_vax_base_ops,39,2026073039,0,nan,1136,2496,0
no_vax_enh_ops,39,2026073039,0,nan,113,244,0
comm_base_40,39,2026073039,0,nan,294,699,40000
comm_base_60,39,2026073039,0,nan,207,508,60000
no_vax_base_ops,40,2026073040,0,nan,986,2216,0
no_vax_enh_ops,40,2026073040,0,nan,145,315,0
comm_base_40,40,2026073040,0,nan,324,782,40000
comm_base_60,40,2026073040,0,nan,185,464,60000
no_vax_base_ops,42,2026073042,0,nan,1047,2225,0
no_vax_enh_ops,42,2026073042,0,nan,148,300,0
comm_base_40,42,2026073042,0,nan,266,603,40000
comm_base_60,42,2026073042,0,nan,213,492,60000
no_vax_base_ops,43,2026073043,0,nan,1134,2518,0
no_vax_enh_ops,43,2026073043,0,nan,202,422,0
comm_base_40,43,2026073043,0,nan,359,831,40000
comm_base_60,43,2026073043,0,nan,244,567,60000
no_vax_base_ops,41,2026073041,0,nan,1050,2322,0
no_vax_enh_ops,41,2026073041,0,nan,155,355,0
comm_base_40,41,2026073041,0,nan,361,896,40000
comm_base_60,41,2026073041,0,nan,207,527,60000
no_vax_base_ops,45,2026073045,0,nan,860,1959,0
no_vax_enh_ops,45,2026073045,1,78.26346496213428,108,262,0
comm_base_40,45,2026073045,0,nan,261,630,40000
comm_base_60,45,2026073045,0,nan,174,442,60000
no_vax_base_ops,44,2026073044,0,nan,1195,2639,0
no_vax_enh_ops,44,2026073044,0,nan,168,395,0
comm_base_40,44,2026073044,0,nan,421,1007,40000
comm_base_60,44,2026073044,0,nan,196,527,60000
no_vax_base_ops,46,2026073046,0,nan,1083,2445,0
no_vax_enh_ops,46,2026073046,0,nan,177,393,0
comm_base_40,46,2026073046,0,nan,355,835,40000
comm_base_60,46,2026073046,0,nan,247,612,60000
no_vax_base_ops,47,2026073047,0,nan,1294,2786,0
no_vax_enh_ops,47,2026073047,0,nan,207,456,0
comm_base_40,47,2026073047,0,nan,339,788,40000
comm_base_60,47,2026073047,0,nan,253,604,60000
no_vax_base_ops,48,2026073048,0,nan,799,1761,0
no_vax_enh_ops,48,2026073048,1,80.94946232194819,103,231,0
comm_base_40,48,2026073048,0,nan,209,544,40000
comm_base_60,48,2026073048,0,nan,138,374,60000
no_vax_base_ops,49,2026073049,0,nan,966,2111,0
