cell,ve_i,ve_m,n_replicates,median_cases,median_deaths,median_doses,median_mortality_reduction_pct
vei_0.000_vem_0.000,0.000,0.000,100,2434.5,1114.0,40000.0,0.0
vei_0.000_vem_0.075,0.000,0.075,100,2434.5,1085.5,40000.0,2.7514880952380953
vei_0.000_vem_0.150,0.000,0.150,100,2434.5,1055.5,40000.0,5.563922356091026
vei_0.000_vem_0.225,0.000,0.225,100,2434.5,1025.5,40000.0,8.455833796196622
vei_0.000_vem_0.300,0.000,0.300,100,2434.5,997.0,40000.0,11.217643686797011
vei_0.000_vem_0.375,0.000,0.375,100,2434.5,963.0,40000.0,14.102809543257777
vei_0.000_vem_0.450,0.000,0.450,100,2434.5,932.5,40000.0,16.764052822250797
vei_0.000_vem_0.525,0.000,0.525,100,2434.5,893.0,40000.0,19.604034227992088
vei_0.000_vem_0.600,0.000,0.600,100,2434.5,856.0,40000.0,22.479079131110982
vei_0.000_vem_0.675,0.000,0.675,100,2434.5,825.5,40000.0,25.22568047263448
vei_0.000_vem_0.750,0.000,0.750,100,2434.5,796.5,40000.0,27.95462962962963
vei_0.000_vem_0.825,0.000,0.825,100,2434.5,763.0,40000.0,30.836384490249387
vei_0.000_vem_0.900,0.000,0.900,100,2434.5,737.0,40000.0,33.754896125022825
vei_0.075_vem_0.000,0.075,0.000,100,1939.5,875.5,40000.0,20.19610719874805
vei_0.075_vem_0.075,0.075,0.075,100,1939.5,855.0,40000.0,22.58318070818071
vei_0.075_vem_0.150,0.075,0.150,100,1939.5,830.0,40000.0,24.432397959183675
vei_0.075_vem_0.225,0.075,0.225,100,1939.5,808.5,40000.0,26.310559719709374
vei_0.075_vem_0.300,0.075,0.300,100,1939.5,790.0000000000001,40000.0,28.376976361320786
vei_0.075_vem_0.375,0.075,0.375,100,1939.5,766.0,40000.0,30.415958049886616
vei_0.075_vem_0.450,0.075,0.450,100,1939.5,744.0,40000.0,32.81590848629955
vei_0.075_vem_0.525,0.075,0.525,100,1939.5,719.5,40000.0,34.534181931442205
vei_0.075_vem_0.600,0.075,0.600,100,1939.5,698.5,40000.0,36.542480690595184
vei_0.075_vem_0.675,0.075,0.675,100,1939.5,676.5,40000.0,38.91578638497653
vei_0.075_vem_0.750,0.075,0.750,100,1939.5,654.5,40000.0,40.988623673925176
vei_0.075_vem_0.825,0.075,0.825,100,1939.5,633.5,40000.0,42.80358179036767
vei_0.075_vem_0.900,0.075,0.900,100,1939.5,613.5,40000.0,44.927783571947785
vei_0.150_vem_0.000,0.150,0.000,100,1576.0,703.0,40000.0,35.771926556939945
vei_0.150_vem_0.075,0.150,0.075,100,1576.0,683.5,40000.0,36.9154587448232
vei_0.150_vem_0.150,0.150,0.150,100,1576.0,670.0,40000.0,38.3588371188728
vei_0.150_vem_0.225,0.150,0.225,100,1576.0,654.5,40000.0,39.82981503918884
vei_0.150_vem_0.300,0.150,0.300,100,1576.0,640.5,40000.0,41.1994231542042
vei_0.150_vem_0.375,0.150,0.375,100,1576.0,624.5,40000.0,42.93399994565661
vei_0.150_vem_0.450,0.150,0.450,100,1576.0,609.5,40000.0,44.130973316309735
vei_0.150_vem_0.525,0.150,0.525,100,1576.0,595.5,40000.0,45.55251350664227
vei_0.150_vem_0.600,0.150,0.600,100,1576.0,579.5,40000.0,47.29992133085174
vei_0.150_vem_0.675,0.150,0.675,100,1576.0,563.5,40000.0,48.67442983556728
vei_0.150_vem_0.750,0.150,0.750,100,1576.0,548.0,40000.0,50.20839338503925
vei_0.150_vem_0.825,0.150,0.825,100,1576.0,531.5,40000.0,51.451550029749086
vei_0.150_vem_0.900,0.150,0.900,100,1576.0,518.5,40000.0,52.974906429190405
vei_0.225_vem_0.000,0.225,0.000,100,1357.5,610.5,40000.0,44.01005025125628
vei_0.225_vem_0.075,0.225,0.075,100,1357.5,598.5,40000.0,45.15037661502653
vei_0.225_vem_0.150,0.225,0.150,100,1357.5,586.0,40000.0,46.09995338751191
vei_0.225_vem_0.225,0.225,0.225,100,1357.5,576.5,40000.0,47.123025571554265
vei_0.225_vem_0.300,0.225,0.300,100,1357.5,565.5,40000.0,48.394120971791565
vei_0.225_vem_0.375,0.225,0.375,100,1357.5,555.5,40000.0,49.59177648353419
vei_0.225_vem_0.450,0.225,0.450,100,1357.5,543.5,40000.0,50.58136058906409
vei_0.225_vem_0.525,0.225,0.525,100,1357.5,528.5,40000.0,51.38287420061596
vei_0.225_vem_0.600,0.225,0.600,100,1357.5,518.5,40000.0,52.445992804467096
vei_0.225_vem_0.675,0.225,0.675,100,1357.5,503.5,40000.0,53.32537234536643
vei_0.225_vem_0.750,0.225,0.750,100,1357.5,494.5,40000.0,54.4633065497259
vei_0.225_vem_0.825,0.225,0.825,100,1357.5,483.99999999999994,40000.0,55.743093204233105
vei_0.225_vem_0.900,0.225,0.900,100,1357.5,471.5,40000.0,56.76469147703034
vei_0.300_vem_0.000,0.300,0.000,100,1122.0,519.5,40000.0,53.25122110061869
vei_0.300_vem_0.075,0.300,0.075,100,1122.0,510.5,40000.0,53.9435620178556
vei_0.300_vem_0.150,0.300,0.150,100,1122.0,499.99999999999994,40000.0,54.76014945209258
vei_0.300_vem_0.225,0.300,0.225,100,1122.0,490.5,40000.0,55.60425153852822
vei_0.300_vem_0.300,0.300,0.300,100,1122.0,480.99999999999994,40000.0,56.31013261679813
vei_0.300_vem_0.375,0.300,0.375,100,1122.0,473.5,40000.0,57.20426670711623
vei_0.300_vem_0.450,0.300,0.450,100,1122.0,462.5,40000.0,57.86272392907464
vei_0.300_vem_0.525,0.300,0.525,100,1122.0,453.5,40000.0,58.47612672913878
vei_0.300_vem_0.600,0.300,0.600,100,1122.0,442.5,40000.0,59.24621823843106
vei_0.300_vem_0.675,0.300,0.675,100,1122.0,434.0,40000.0,60.13336283698822
vei_0.300_vem_0.750,0.300,0.750,100,1122.0,424.5,40000.0,60.90380700420141
vei_0.300_vem_0.825,0.300,0.825,100,1122.0,415.5,40000.0,61.526831099308566
vei_0.300_vem_0.900,0.300,0.900,100,1122.0,407.0,40000.0,62.573023630858344
vei_0.375_vem_0.000,0.375,0.000,100,972.5,435.5,40000.0,59.40434078097542
vei_0.375_vem_0.075,0.375,0.075,100,972.5,431.0,40000.0,59.98037291462217
vei_0.375_vem_0.150,0.375,0.150,100,972.5,423.5,40000.0,60.69631951141112
vei_0.375_vem_0.225,0.375,0.225,100,972.5,419.5,40000.0,61.43047531707932
vei_0.375_vem_0.300,0.375,0.300,100,972.5,412.0,40000.0,61.89272769593988
vei_0.375_vem_0.375,0.375,0.375,100,972.5,403.5,40000.0,62.64143216418995
vei_0.375_vem_0.450,0.375,0.450,100,972.5,397.5,40000.0,63.117509298801494
vei_0.375_vem_0.525,0.375,0.525,100,972.5,391.0,40000.0,63.6168893787023
vei_0.375_vem_0.600,0.375,0.600,100,972.5,386.0,40000.0,63.99021903843504
vei_0.375_vem_0.675,0.375,0.675,100,972.5,379.5,40000.0,64.79611516737843
vei_0.375_vem_0.750,0.375,0.750,100,972.5,374.5,40000.0,65.37332965973275
vei_0.375_vem_0.825,0.375,0.825,100,972.5,371.5,40000.0,65.86561219188361
vei_0.375_vem_0.900,0.375,0.900,100,972.5,366.5,40000.0,66.52675857168609
vei_0.450_vem_0.000,0.450,0.000,100,854.5,389.5,40000.0,64.22406633377742
vei_0.450_vem_0.075,0.450,0.075,100,854.5,384.0,40000.0,64.67254848658985
vei_0.450_vem_0.150,0.450,0.150,100,854.5,379.5,40000.0,65.06436705727018
vei_0.450_vem_0.225,0.450,0.225,100,854.5,374.0,40000.0,65.45726335184837
vei_0.450_vem_0.300,0.450,0.300,100,854.5,370.0,40000.0,65.87850691951456
vei_0.450_vem_0.375,0.450,0.375,100,854.5,364.0,40000.0,66.37488102920985
vei_0.450_vem_0.450,0.450,0.450,100,854.5,360.0,40000.0,66.80586632658976
vei_0.450_vem_0.525,0.450,0.525,100,854.5,355.0,40000.0,67.18721560049521
vei_0.450_vem_0.600,0.450,0.600,100,854.5,352.0,40000.0,67.61628357604829
vei_0.450_vem_0.675,0.450,0.675,100,854.5,344.5,40000.0,68.0083107846927
vei_0.450_vem_0.750,0.450,0.750,100,854.5,341.0,40000.0,68.45187475840743
vei_0.450_vem_0.825,0.450,0.825,100,854.5,336.0,40000.0,68.88364901430228
vei_0.450_vem_0.900,0.450,0.900,100,854.5,332.5,40000.0,69.40413606494009
vei_0.525_vem_0.000,0.525,0.000,100,787.0,353.5,40000.0,67.87866645447554
vei_0.525_vem_0.075,0.525,0.075,100,787.0,350.0,40000.0,68.3725270018823
vei_0.525_vem_0.150,0.525,0.150,100,787.0,346.5,40000.0,68.70112038466661
vei_0.525_vem_0.225,0.525,0.225,100,787.0,342.0,40000.0,68.82685700076857
vei_0.525_vem_0.300,0.525,0.300,100,787.0,339.5,40000.0,69.24561462995615
vei_0.525_vem_0.375,0.525,0.375,100,787.0,336.0,40000.0,69.51005215025319
vei_0.525_vem_0.450,0.525,0.450,100,787.0,334.0,40000.0,69.80660231296363
vei_0.525_vem_0.525,0.525,0.525,100,787.0,330.0,40000.0,70.06255602912728
vei_0.525_vem_0.600,0.525,0.600,100,787.0,327.5,40000.0,70.45570735277622
vei_0.525_vem_0.675,0.525,0.675,100,787.0,325.5,40000.0,70.67524293179324
vei_0.525_vem_0.750,0.525,0.750,100,787.0,321.5,40000.0,71.028292406847
vei_0.525_vem_0.825,0.525,0.825,100,787.0,318.5,40000.0,71.15671706438124
vei_0.525_vem_0.900,0.525,0.900,100,787.0,314.5,40000.0,71.4116172699762
vei_0.600_vem_0.000,0.600,0.000,100,702.0,324.5,40000.0,71.13199280327396
vei_0.600_vem_0.075,0.600,0.075,100,702.0,321.0,40000.0,71.47418354314905
vei_0.600_vem_0.150,0.600,0.150,100,702.0,319.5,40000.0,71.79567505035894
vei_0.600_vem_0.225,0.600,0.225,100,702.0,316.5,40000.0,72.06499936280912
vei_0.600_vem_0.300,0.600,0.300,100,702.0,314.5,40000.0,72.25896830323484
vei_0.600_vem_0.375,0.600,0.375,100,702.0,312.5,40000.0,72.47005016018437
vei_0.600_vem_0.450,0.600,0.450,100,702.0,310.0,40000.0,72.8434192368659
vei_0.600_vem_0.525,0.600,0.525,100,702.0,308.0,40000.0,72.92773626890636
vei_0.600_vem_0.600,0.600,0.600,100,702.0,306.5,40000.0,73.20655394011212
vei_0.600_vem_0.675,0.600,0.675,100,702.0,303.0,40000.0,73.31466204822023
vei_0.600_vem_0.750,0.600,0.750,100,702.0,301.0,40000.0,73.56027581834033
vei_0.600_vem_0.825,0.600,0.825,100,702.0,298.5,40000.0,73.72450687084833
vei_0.600_vem_0.900,0.600,0.900,100,702.0,297.0,40000.0,74.04593724506603
vei_0.675_vem_0.000,0.675,0.000,100,651.5,294.0,40000.0,73.53169789835879
vei_0.675_vem_0.075,0.675,0.075,100,651.5,292.5,40000.0,73.5819491546402
vei_0.675_vem_0.150,0.675,0.150,100,651.5,292.0,40000.0,73.64597050838088
vei_0.675_vem_0.225,0.675,0.225,100,651.5,290.0,40000.0,73.86825505210619
vei_0.675_vem_0.300,0.675,0.300,100,651.5,289.0,40000.0,73.95877026126257
vei_0.675_vem_0.375,0.675,0.375,100,651.5,287.5,40000.0,74.04127851208767
vei_0.675_vem_0.450,0.675,0.450,100,651.5,287.0,40000.0,74.13179372124404
vei_0.675_vem_0.525,0.675,0.525,100,651.5,284.5,40000.0,74.19677066228789
vei_0.675_vem_0.600,0.675,0.600,100,651.5,283.5,40000.0,74.26406926406926
vei_0.675_vem_0.675,0.675,0.675,100,651.5,281.5,40000.0,74.49412048624221
vei_0.675_vem_0.750,0.675,0.750,100,651.5,277.5,40000.0,74.59270654468176
vei_0.675_vem_0.825,0.675,0.825,100,651.5,274.0,40000.0,74.939640229838
vei_0.675_vem_0.900,0.675,0.900,100,651.5,271.0,40000.0,75.06680226529474
vei_0.750_vem_0.000,0.750,0.000,100,595.5,265.0,40000.0,75.40490711905647
vei_0.750_vem_0.075,0.750,0.075,100,595.5,263.5,40000.0,75.55553790141727
vei_0.750_vem_0.150,0.750,0.150,100,595.5,263.0,40000.0,75.66854645409066
vei_0.750_vem_0.225,0.750,0.225,100,595.5,262.0,40000.0,75.70619705650032
vei_0.750_vem_0.300,0.750,0.300,100,595.5,260.5,40000.0,75.74387603163218
vei_0.750_vem_0.375,0.750,0.375,100,595.5,259.0,40000.0,75.85685621158333
vei_0.750_vem_0.450,0.750,0.450,100,595.5,259.0,40000.0,75.96989313697895
vei_0.750_vem_0.525,0.750,0.525,100,595.5,258.5,40000.0,76.04519434179824
vei_0.750_vem_0.600,0.750,0.600,100,595.5,258.0,40000.0,76.07942216217063
vei_0.750_vem_0.675,0.750,0.675,100,595.5,256.5,40000.0,76.1547801124344
vei_0.750_vem_0.750,0.750,0.750,100,595.5,255.00000000000003,40000.0,76.26781703783001
vei_0.750_vem_0.825,0.750,0.825,100,595.5,253.5,40000.0,76.45388174473912
vei_0.750_vem_0.900,0.750,0.900,100,595.5,252.5,40000.0,76.53110405126534
vei_0.825_vem_0.000,0.825,0.000,100,564.0,252.0,40000.0,76.89608367179444
vei_0.825_vem_0.075,0.825,0.075,100,564.0,252.0,40000.0,76.98277831724454
vei_0.825_vem_0.150,0.825,0.150,100,564.0,252.0,40000.0,77.13079303385436
vei_0.825_vem_0.225,0.825,0.225,100,564.0,251.5,40000.0,77.20232809830588
